;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;-26986389,68;-25164269,43;-32102000,00;0,00;0,00;0,00;;
2 + Zuwendungen und allgemeine Umlagen;-1534972,26;-1974714,70;-1779014,04;-2157220,66;-2132964,15;-1974370,45;-1973508,40;-1973504,02
3 + Sonstige Transfererträge;-4078681,94;-4322624,49;-3857050,00;-3037050,00;-2882050,00;-2882050,00;-2882050,00;-2882050,00
4 + Öffentlich-rechtliche Leistungsentgelte;-722382,93;-545497,60;-619350,00;-519350,00;-519350,00;-519350,00;-519350,00;-519350,00
5 + Privatrechtliche Leistungsentgelte;363801,33;-2627,24;-174993,16;-13218,64;-13218,64;-13218,64;-13218,64;-13218,64
6 + Kostenerstattungen und Kostenumlagen;-22908628,00;-27251963,11;-21855550,00;-88038150,00;-95908750,00;-99605750,00;-98945750,00;-98285750,00
7 + Sonstige ordentliche Ertäge;-3540540,71;-4599233,60;-43300,00;-203050,00;-203050,00;-203050,00;-203050,00;-203050,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-59407794,19;-63860930,17;-60431257,20;-93968039,30;-101659382,79;-105197789,09;-104536927,04;-103876922,66
11 - Personalaufwendungen;20986992,64;20971039,14;23140110,67;14350846,39;14525018,99;14680952,79;14851616,04;15030483,90
12 - Versorgungsaufwendungen;15,70;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;11822498,24;12813368,31;12521068,52;9961148,08;9973656,40;9986701,04;9809814,44;9833591,60
14 - Bilanzielle Abschreibungen;74625,47;35151,57;37598,66;25059,77;15252,46;8575,11;7047,34;6867,08
15 - Transferaufwendungen;84748806,47;88187678,62;89946950,00;132614090,00;135992290,00;137867290,00;137937290,00;138007290,00
16 - Sonstige ordentliche Aufwendungen;118676285,22;122220783,62;125258023,87;118584496,82;116508250,67;114380934,59;112252934,59;110124934,59
17 = Ordentliche Aufwendungen;236309223,74;244228021,26;250903751,72;275535641,06;277014468,52;276924453,53;274858702,41;273003167,17
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);176901429,55;180367091,09;190472494,52;181567601,76;175355085,73;171726664,44;170321775,37;169126244,51
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;228,06;;50,00;0,00;0,00;0,00;;
21 = Finanzergebnis (=19 +20);228,06;;50,00;0,00;0,00;0,00;;
22 = Ordentliches Ergebnis (=18 + 21);176901657,61;180367091,09;190472544,52;181567601,76;175355085,73;171726664,44;170321775,37;169126244,51
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);176901657,61;180367091,09;190472544,52;181567601,76;175355085,73;171726664,44;170321775,37;169126244,51
27 + Erträge aus internen Leistungsbeziehungen;-203703,36;-186213,90;-189558,48;-196121,64;-199421,64;-199421,64;-199421,64;-199421,64
28 - Aufwendungen aus internen Leistungsbeziehungen;6079687,63;4610325,73;4831741,04;3760888,00;3732134,79;3755336,78;3752179,93;3758994,79
29 = Ergebnis  (= 26, 27, 28);182777641,88;184791202,92;195114727,08;185132368,12;178887798,88;175282579,58;173874533,66;172685817,66
