TFP Investitionssammelmaßnahmen Doppelhaushalt;Ergebnis  &NKF_TKWI&;Ergebnis  &NKF_TKWI&;Ansatz   2011;Ansatz HHJ  2012;VE 2012;Ansatz HHJ 2013;VE 2013;Planung  2014;Planung  2015;Planung  2016
TFP Investitionssammelmaßnahmen;EUR;EUR;EUR;EUR;EUR;EUR;;EUR;EUR;EUR
1 - Einzahlungen aus Investitionszuwendungen;-3739181;-1401157;-16036000;-7567223;;-8578045;;-12477973;-11960682;-8999900
2 - Einzahlungen aus Veräußerungen von Sachanlagen;-5878;-1054;;;;;;;;
3 - Einzahlungen aus Veräußerungen von Finanzanlagen;;;;;;;;;;
4- Einzahlungen aus Beiträgen und ähnlichen Entgelten;;;;;;;;;;
5 - Sonstige Investitionseinzahlungen;-967;-6367;;;;;;;;
6 - Summe der investiven Einzahlungen;-3746026;-1408577;-16036000;-7567223;;-8578045;;-12477973;-11960682;-8999900
7 - Auszahlungen für den Erwerb von Grundstücken/Gebäuden;2270;431252;;;;;;;;
8 - Auszahlungen für Baumaßnahmen;1713287;2285585;22175000;15185533;40000000;14674000;;14858696;14412103;10960000
9 - Auszahlungen für den Erwerb von bewegl Anlagevermögen;473269;84609;160500;83000;;102500;;102500;102500;102500
10 - Auszahlungen für den Erwerb von Finanzanlagen;;;;;;;;;;
11 - Auszahlung für aktivierbare Zuwendungen test bw;144804;119214;;;;;;;;
12 - Sonstige Investitionsauszahlungen;;;;;;;;;;
13 - Summe der investiven Auszahlungen;2333630;2920660;22335500;15268533;40000000;14776500;;14961196;14514603;11062500
4 = Saldo: (Einzahlungen / Auszahlungen);-1412396;1512083;6299500;7701310;40000000;6198455;;2483223;2553921;2062600
