;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-10267421,37;-8277205,25;-7873173,89;-8193035,42;-8270625,45;-7717204,17;-7555777,71;-7474903,56
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-7507841,75;-7446311,82;-7515340,91;-7495861,35;-7495939,46;-7495847,10;-7492035,55;-7482864,68
5 + Privatrechtliche Leistungsentgelte;-44025,05;-54042,48;-37600,00;-49600,00;-49600,00;-49600,00;-49600,00;-49600,00
6 + Kostenerstattungen und Kostenumlagen;-1027794,60;-1197035,03;-1027901,48;-1025020,37;-1025034,00;-1025034,49;-1025036,65;-1025037,96
7 + Sonstige ordentliche Ertäge;-1345043,96;-372131,89;-11350,00;-11412,57;-11412,56;-11412,57;-11412,56;-11412,57
8 + Aktivierte Eigenleistungen;-296211,11;-401648,17;-29745,00;-359436,96;-420581,88;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-20488337,84;-17748374,64;-16495111,28;-17134366,67;-17273193,35;-16299098,33;-16133862,47;-16043818,77
11 - Personalaufwendungen;17889876,19;18330740,57;19131213,03;16357942,52;16583429,91;16800356,51;17035283,84;17268770,66
12 - Versorgungsaufwendungen;12,38;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;21951362,54;24155858,14;23522000,00;26205837,00;26679138,00;26166116,00;26329484,00;26343254,00
14 - Bilanzielle Abschreibungen;27360362,30;27483871,48;26919296,27;26972331,16;26589880,45;26409858,50;26137029,57;25809106,29
15 - Transferaufwendungen;50294,32;94497,76;10000,00;10000,00;10000,00;10000,00;10000,00;10000,00
16 - Sonstige ordentliche Aufwendungen;4057373,17;3838935,70;3132241,47;2918318,00;2939018,00;2981168,00;2984168,00;2984168,00
17 = Ordentliche Aufwendungen;71309280,90;73903903,65;72714750,77;72464428,68;72801466,36;72367499,01;72495965,41;72415298,95
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);50820943,06;56155529,01;56219639,49;55330062,01;55528273,01;56068400,68;56362102,94;56371480,18
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;11278,25;70,70;0,00;5100,00;5100,00;5100,00;5100,00;5100,00
21 = Finanzergebnis (=19 +20);11278,25;70,70;0,00;5100,00;5100,00;5100,00;5100,00;5100,00
22 = Ordentliches Ergebnis (=18 + 21);50832221,31;56155599,71;56219639,49;55335162,01;55533373,01;56073500,68;56367202,94;56376580,18
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);50832221,31;56155599,71;56219639,49;55335162,01;55533373,01;56073500,68;56367202,94;56376580,18
27 + Erträge aus internen Leistungsbeziehungen;-2276355,39;-2454425,08;-2373329,20;-1886178,56;-1886514,09;-1887018,18;-1887509,25;-1888057,70
28 - Aufwendungen aus internen Leistungsbeziehungen;10036131,37;8578857,30;9107834,33;9024777,43;8995522,69;9006547,50;9021441,12;9027913,08
29 = Ergebnis  (= 26, 27, 28);58591997,29;62280031,93;62954144,62;62473760,88;62642381,61;63193030,00;63501134,81;63516435,56
