"";"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"-26.986.389,68 EUR";"-25.164.269,43 EUR";"-32.102.000,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-25.714.402,50 EUR";"-28.012.268,86 EUR";"-28.922.419,83 EUR";"-33.229.943,45 EUR";"-32.985.794,49 EUR";"-33.513.575,70 EUR";"-30.655.614,70 EUR";"-30.896.002,11 EUR"
"3 + Sonstige Transfererträge";"-6.113.707,71 EUR";"-4.920.050,59 EUR";"-3.906.550,00 EUR";"-4.241.000,00 EUR";"-4.241.000,00 EUR";"-4.241.000,00 EUR";"-4.241.000,00 EUR";"-4.241.000,00 EUR"
"4 + Öffentlich-rechtliche Leistungsentgelte";"-10.148.569,09 EUR";"-10.288.627,54 EUR";"-9.103.508,18 EUR";"-6.636.627,20 EUR";"-6.699.627,20 EUR";"-6.711.627,20 EUR";"-6.675.627,20 EUR";"-6.636.627,20 EUR"
"5 + Privatrechtliche Leistungsentgelte";"-905.189,16 EUR";"-1.340.769,55 EUR";"-1.126.950,00 EUR";"-1.699.500,00 EUR";"-1.699.500,00 EUR";"-1.699.500,00 EUR";"-1.699.500,00 EUR";"-1.699.500,00 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"-25.003.962,69 EUR";"-12.436.015,54 EUR";"-12.624.350,00 EUR";"-71.778.350,00 EUR";"-71.011.950,00 EUR";"-67.389.150,00 EUR";"-66.729.150,00 EUR";"-66.069.150,00 EUR"
"7 + Sonstige ordentliche Ertäge";"-4.308.818,95 EUR";"-1.871.501,20 EUR";"-35.400,00 EUR";"-393.151,40 EUR";"-392.985,17 EUR";"-392.833,36 EUR";"-392.604,09 EUR";"-392.573,08 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"0,00 EUR";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-99.181.039,78 EUR";"-84.033.502,71 EUR";"-87.821.178,01 EUR";"-117.978.572,05 EUR";"-117.030.856,86 EUR";"-113.947.686,26 EUR";"-110.393.495,99 EUR";"-109.934.852,39 EUR"
"11 - Personalaufwendungen";"61.053.322,63 EUR";"53.170.297,29 EUR";"57.838.555,98 EUR";"49.966.611,20 EUR";"50.724.241,86 EUR";"51.496.016,39 EUR";"52.373.093,66 EUR";"53.235.033,58 EUR"
"12 - Versorgungsaufwendungen";"48,53 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"22.269.628,89 EUR";"12.043.678,62 EUR";"13.473.083,00 EUR";"14.083.065,60 EUR";"15.344.429,12 EUR";"11.449.653,16 EUR";"11.262.624,08 EUR";"11.386.360,28 EUR"
"14 - Bilanzielle Abschreibungen";"351.221,44 EUR";"249.112,28 EUR";"146.138,23 EUR";"203.079,61 EUR";"179.537,15 EUR";"162.871,50 EUR";"155.740,42 EUR";"145.354,93 EUR"
"15 - Transferaufwendungen";"167.145.461,13 EUR";"98.277.131,49 EUR";"97.270.380,00 EUR";"147.037.744,00 EUR";"148.325.985,00 EUR";"151.654.440,00 EUR";"150.985.650,00 EUR";"152.664.440,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"127.629.126,00 EUR";"128.460.354,65 EUR";"131.998.373,92 EUR";"125.685.361,45 EUR";"123.636.705,10 EUR";"121.510.389,14 EUR";"119.289.039,14 EUR";"117.159.489,14 EUR"
"17 = Ordentliche Aufwendungen";"378.448.808,62 EUR";"292.200.574,33 EUR";"300.726.531,13 EUR";"336.975.861,86 EUR";"338.210.898,23 EUR";"336.273.370,19 EUR";"334.066.147,30 EUR";"334.590.677,93 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"279.267.768,84 EUR";"208.167.071,62 EUR";"212.905.353,12 EUR";"218.997.289,81 EUR";"221.180.041,37 EUR";"222.325.683,93 EUR";"223.672.651,31 EUR";"224.655.825,54 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"228,06 EUR";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"228,06 EUR";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"279.267.996,90 EUR";"208.167.071,62 EUR";"212.905.353,12 EUR";"218.997.289,81 EUR";"221.180.041,37 EUR";"222.325.683,93 EUR";"223.672.651,31 EUR";"224.655.825,54 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"279.267.996,90 EUR";"208.167.071,62 EUR";"212.905.353,12 EUR";"218.997.289,81 EUR";"221.180.041,37 EUR";"222.325.683,93 EUR";"223.672.651,31 EUR";"224.655.825,54 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-182.596,80 EUR";"-1.425.297,27 EUR";"-1.417.437,72 EUR";"-1.419.619,79 EUR";"-1.423.107,87 EUR";"-1.423.107,87 EUR";"-1.423.107,87 EUR";"-1.423.107,87 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"14.360.932,32 EUR";"9.129.146,77 EUR";"9.151.052,75 EUR";"8.767.302,93 EUR";"8.699.585,39 EUR";"8.649.836,05 EUR";"8.697.247,11 EUR";"8.738.380,36 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"293.446.332,42 EUR";"215.870.921,12 EUR";"220.638.968,15 EUR";"226.344.972,95 EUR";"228.456.518,89 EUR";"229.552.412,11 EUR";"230.946.790,55 EUR";"231.971.098,03 EUR"
