"";"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-10.011,89 EUR";"-7.819,95 EUR";"-102,43 EUR";"-8.321,59 EUR";"-8.118,19 EUR";"-7.217,27 EUR";"-6.475,28 EUR";"-6.475,27 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"-383.960,79 EUR";"-397.445,57 EUR";"-494.100,00 EUR";"-478.100,00 EUR";"-478.100,00 EUR";"-478.100,00 EUR";"-478.100,00 EUR";"-478.100,00 EUR"
"5 + Privatrechtliche Leistungsentgelte";"-1.167,70 EUR";"-1.651,07 EUR";"-1.900,00 EUR";"-1.900,00 EUR";"-1.900,00 EUR";"-1.900,00 EUR";"-1.900,00 EUR";"-1.900,00 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"-6.251,65 EUR";"-7.870,63 EUR";"-7.200,00 EUR";"-5.200,00 EUR";"-5.200,00 EUR";"-5.200,00 EUR";"-5.200,00 EUR";"-5.200,00 EUR"
"7 + Sonstige ordentliche Ertäge";"-165,50 EUR";"-495,00 EUR";"-800,00 EUR";"-300,00 EUR";"-300,00 EUR";"-300,00 EUR";"-300,00 EUR";"-300,00 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-401.557,53 EUR";"-415.282,22 EUR";"-504.102,43 EUR";"-493.821,59 EUR";"-493.618,19 EUR";"-492.717,27 EUR";"-491.975,28 EUR";"-491.975,27 EUR"
"11 - Personalaufwendungen";"2.071.642,44 EUR";"2.232.903,53 EUR";"2.610.891,29 EUR";"2.971.775,88 EUR";"3.001.356,35 EUR";"3.026.558,74 EUR";"3.058.603,45 EUR";"3.096.180,05 EUR"
"12 - Versorgungsaufwendungen";"1,57 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"75.947,51 EUR";"39.166,80 EUR";"101.633,32 EUR";"98.437,36 EUR";"100.900,20 EUR";"103.470,36 EUR";"106.019,76 EUR";"108.645,72 EUR"
"14 - Bilanzielle Abschreibungen";"22.595,22 EUR";"21.420,96 EUR";"10.895,50 EUR";"18.860,64 EUR";"11.997,07 EUR";"10.676,78 EUR";"9.895,06 EUR";"9.424,06 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"290.670,64 EUR";"208.428,23 EUR";"351.537,51 EUR";"446.448,70 EUR";"446.450,44 EUR";"446.526,52 EUR";"446.526,52 EUR";"446.526,52 EUR"
"17 = Ordentliche Aufwendungen";"2.460.857,38 EUR";"2.501.919,52 EUR";"3.074.957,62 EUR";"3.535.522,58 EUR";"3.560.704,06 EUR";"3.587.232,40 EUR";"3.621.044,79 EUR";"3.660.776,35 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"2.059.299,85 EUR";"2.086.637,30 EUR";"2.570.855,19 EUR";"3.041.700,99 EUR";"3.067.085,87 EUR";"3.094.515,13 EUR";"3.129.069,51 EUR";"3.168.801,08 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"2.059.299,85 EUR";"2.086.637,30 EUR";"2.570.855,19 EUR";"3.041.700,99 EUR";"3.067.085,87 EUR";"3.094.515,13 EUR";"3.129.069,51 EUR";"3.168.801,08 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"2.059.299,85 EUR";"2.086.637,30 EUR";"2.570.855,19 EUR";"3.041.700,99 EUR";"3.067.085,87 EUR";"3.094.515,13 EUR";"3.129.069,51 EUR";"3.168.801,08 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"556.865,69 EUR";"545.119,27 EUR";"520.003,91 EUR";"479.174,04 EUR";"475.711,26 EUR";"478.969,41 EUR";"480.341,29 EUR";"481.925,23 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"2.616.165,54 EUR";"2.631.756,57 EUR";"3.090.859,10 EUR";"3.520.875,03 EUR";"3.542.797,13 EUR";"3.573.484,54 EUR";"3.609.410,80 EUR";"3.650.726,31 EUR"
