;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-6.470,40 EUR";"-11.816,78 EUR";"";"-16.449,16 EUR";"-16.449,14 EUR";"-15.277,60 EUR";"-15.171,08 EUR";"-15.171,10 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"-9.130,97 EUR";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"-103.684,59 EUR";"-120.602,99 EUR";"-113.900,00 EUR";"-88.000,00 EUR";"-88.000,00 EUR";"-88.000,00 EUR";"-88.000,00 EUR";"-88.000,00 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"";"-952,00 EUR";"";"";"";"";"";""
"7 + Sonstige ordentliche Ertäge";"-12.658,97 EUR";"-9.175,97 EUR";"-150,00 EUR";"-9.280,97 EUR";"-9.280,97 EUR";"-9.280,97 EUR";"-9.280,97 EUR";"-9.280,97 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-122.813,96 EUR";"-142.547,74 EUR";"-123.180,97 EUR";"-113.730,13 EUR";"-113.730,11 EUR";"-112.558,57 EUR";"-112.452,05 EUR";"-112.452,07 EUR"
"11 - Personalaufwendungen";"990.885,41 EUR";"991.369,25 EUR";"978.784,37 EUR";"1.008.258,60 EUR";"1.021.657,43 EUR";"1.034.732,67 EUR";"1.051.366,93 EUR";"1.069.142,72 EUR"
"12 - Versorgungsaufwendungen";"0,92 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"1.979.639,27 EUR";"1.687.900,24 EUR";"1.755.221,12 EUR";"1.831.204,36 EUR";"1.831.204,36 EUR";"1.835.345,84 EUR";"1.843.752,64 EUR";"1.852.411,60 EUR"
"14 - Bilanzielle Abschreibungen";"941.396,55 EUR";"836.517,17 EUR";"829.875,74 EUR";"772.877,14 EUR";"648.786,55 EUR";"564.836,13 EUR";"550.480,99 EUR";"542.890,34 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"1.580.589,95 EUR";"1.611.386,06 EUR";"1.615.673,53 EUR";"1.654.529,49 EUR";"1.654.529,49 EUR";"1.654.529,49 EUR";"1.654.529,49 EUR";"1.654.529,49 EUR"
"17 = Ordentliche Aufwendungen";"5.492.512,10 EUR";"5.127.172,72 EUR";"5.179.554,76 EUR";"5.266.869,59 EUR";"5.156.177,83 EUR";"5.089.444,13 EUR";"5.100.130,05 EUR";"5.118.974,15 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"5.369.698,14 EUR";"4.984.624,98 EUR";"5.056.373,79 EUR";"5.153.139,46 EUR";"5.042.447,72 EUR";"4.976.885,56 EUR";"4.987.678,00 EUR";"5.006.522,08 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"5.369.698,14 EUR";"4.984.624,98 EUR";"5.056.373,79 EUR";"5.153.139,46 EUR";"5.042.447,72 EUR";"4.976.885,56 EUR";"4.987.678,00 EUR";"5.006.522,08 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"5.369.698,14 EUR";"4.984.624,98 EUR";"5.056.373,79 EUR";"5.153.139,46 EUR";"5.042.447,72 EUR";"4.976.885,56 EUR";"4.987.678,00 EUR";"5.006.522,08 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"389.933,97 EUR";"262.736,63 EUR";"279.816,68 EUR";"267.645,48 EUR";"263.836,55 EUR";"266.415,65 EUR";"267.338,55 EUR";"268.270,56 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"5.759.632,11 EUR";"5.247.361,61 EUR";"5.336.190,47 EUR";"5.420.784,94 EUR";"5.306.284,27 EUR";"5.243.301,21 EUR";"5.255.016,55 EUR";"5.274.792,64 EUR"
