;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-71,49;-237,47;-2,40;-2,76;-2,76;-2,76;-2,76;-2,76
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-5125,00;-1700650,00;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;0,00;0,00;;;;
7 + Sonstige ordentliche Ertäge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-5196,49;-1700887,47;-2,40;-2,76;-2,76;-2,76;-2,76;-2,76
11 - Personalaufwendungen;275565,18;297032,65;286673,68;264824,61;269095,37;273442,75;277913,81;282044,17
12 - Versorgungsaufwendungen;0,17;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;12205,88;10636,57;24424,20;32517,44;32620,76;32726,96;32836,64;32949,44
14 - Bilanzielle Abschreibungen;244,00;403,07;157,27;122,23;94,51;94,52;94,51;94,16
15 - Transferaufwendungen;53194,00;71000,00;71000,00;71000,00;71000,00;71000,00;71000,00;71000,00
16 - Sonstige ordentliche Aufwendungen;115402,55;1692083,00;310112,64;105114,64;105114,64;105114,64;105114,64;105114,64
17 = Ordentliche Aufwendungen;456611,78;2071155,29;692367,79;473578,92;477925,28;482378,87;486959,60;491202,41
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);451415,29;370267,82;692365,39;473576,16;477922,52;482376,11;486956,84;491199,65
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);;;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);451415,29;370267,82;692365,39;473576,16;477922,52;482376,11;486956,84;491199,65
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);451415,29;370267,82;692365,39;473576,16;477922,52;482376,11;486956,84;491199,65
27 + Erträge aus internen Leistungsbeziehungen;-486951,28;-410893,74;-721348,28;-499971,68;-504066,13;-508924,74;-513699,58;-518112,90
28 - Aufwendungen aus internen Leistungsbeziehungen;35510,90;40625,92;28982,89;26395,52;26143,61;26548,63;26742,74;26913,26
29 = Ergebnis  (= 26, 27, 28);-25,09;0,00;0,00;0,00;0,00;0,00;0,00;0,01
