;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-1278,90;-20,07;;-7,70;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Ertäge;-108573,71;-471,72;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-109852,61;-491,79;;-7,70;;;;
11 - Personalaufwendungen;;21517,99;24290,98;29123,54;29325,89;29438,33;29606,44;29863,19
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;731,53;799,66;767,38;784,54;802,30;820,66;839,50
14 - Bilanzielle Abschreibungen;;104,57;1,47;7,70;;;;
15 - Transferaufwendungen;1188,25;;;;;;;
16 - Sonstige ordentliche Aufwendungen;108573,71;729,01;658,84;789,20;789,20;789,20;789,20;789,20
17 = Ordentliche Aufwendungen;109761,96;23083,10;25750,95;30687,82;30899,63;31029,83;31216,30;31491,89
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);-90,65;22591,31;25750,95;30680,12;30899,63;31029,83;31216,30;31491,89
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);;;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);-90,65;22591,31;25750,95;30680,12;30899,63;31029,83;31216,30;31491,89
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);-90,65;22591,31;25750,95;30680,12;30899,63;31029,83;31216,30;31491,89
27 + Erträge aus internen Leistungsbeziehungen;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;;3966,38;4879,61;4538,25;4505,39;4529,91;4533,22;4545,86
29 = Ergebnis  (= 26, 27, 28);-90,65;26557,69;30630,56;35218,37;35405,02;35559,74;35749,52;36037,75
