;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-16400,00;-63000,00;;;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;-51100,57;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-11615,64;-7614,21;-3696,52;-4402,14;-4460,94;-4468,42;-4506,92;-4537,41
7 + Sonstige ordentliche Ertäge;;0,00;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-28015,64;-121714,78;-3696,52;-4402,14;-4460,94;-4468,42;-4506,92;-4537,41
11 - Personalaufwendungen;266776,62;236291,01;197983,31;166184,40;168709,76;171210,92;173741,56;176070,80
12 - Versorgungsaufwendungen;0,15;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;5802,89;125873,31;8100,00;5213,00;5366,00;5524,00;5687,00;5855,00
14 - Bilanzielle Abschreibungen;72,88;72,87;63,50;56,00;;;;
15 - Transferaufwendungen;;6496,69;;;;;;
16 - Sonstige ordentliche Aufwendungen;49400,42;39416,07;38900,00;32650,00;32650,00;32650,00;34275,00;35900,00
17 = Ordentliche Aufwendungen;322052,96;408149,95;245046,81;204103,40;206725,76;209384,92;213703,56;217825,80
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);294037,32;286435,17;241350,29;199701,26;202264,82;204916,50;209196,64;213288,39
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);;;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);294037,32;286435,17;241350,29;199701,26;202264,82;204916,50;209196,64;213288,39
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);294037,32;286435,17;241350,29;199701,26;202264,82;204916,50;209196,64;213288,39
27 + Erträge aus internen Leistungsbeziehungen;-331371,24;-342309,22;-279714,36;-230885,79;-233094,74;-235562,95;-239529,93;-243321,93
28 - Aufwendungen aus internen Leistungsbeziehungen;63157,83;83628,82;61043,39;49904,67;49729,00;49745,80;49754,33;49761,89
29 = Ergebnis  (= 26, 27, 28);25823,91;27754,77;22679,32;18720,14;18899,08;19099,35;19421,04;19728,35
