;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-45622,19;-52480,73;-42443,69;-60967,35;-60967,33;-52874,34;-52841,98;-52832,70
3 + Sonstige Transfererträge;-63343,82;-18855,40;-25550,00;-25550,00;-25550,00;-25550,00;-25550,00;-25550,00
4 + Öffentlich-rechtliche Leistungsentgelte;-2161974,14;-1767720,31;-2278700,00;-2278700,00;-2278700,00;-2278700,00;-2278700,00;-2278700,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-19649,99;-38566,69;-43400,00;-43400,00;-43400,00;-43400,00;-43400,00;-43400,00
7 + Sonstige ordentliche Ertäge;-497874,31;-294614,65;-98576,00;-81550,00;-81550,00;-81550,00;-81550,00;-81550,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-2788464,45;-2172237,78;-2488669,69;-2490167,35;-2490167,33;-2482074,34;-2482041,98;-2482032,70
11 - Personalaufwendungen;8140252,85;8158854,07;9054145,76;8038568,90;8142812,68;8238749,84;8334191,09;8427501,76
12 - Versorgungsaufwendungen;5,17;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;262700,30;332332,39;369315,68;285280,24;292270,44;299420,12;306886,28;314524,68
14 - Bilanzielle Abschreibungen;27835,43;24057,77;22796,26;22923,53;10006,09;1854,67;1822,30;1813,02
15 - Transferaufwendungen;587461,38;326064,97;505000,00;377250,00;307250,00;297250,00;258550,00;258550,00
16 - Sonstige ordentliche Aufwendungen;1024664,74;856048,77;881232,00;791236,76;836236,76;791236,76;836236,76;791236,76
17 = Ordentliche Aufwendungen;10042919,87;9697357,97;10832489,70;9515259,43;9588575,97;9628511,39;9737686,43;9793626,22
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);7254455,42;7525120,19;8343820,01;7025092,08;7098408,64;7146437,05;7255644,45;7311593,52
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);;;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);7254455,42;7525120,19;8343820,01;7025092,08;7098408,64;7146437,05;7255644,45;7311593,52
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);7254455,42;7525120,19;8343820,01;7025092,08;7098408,64;7146437,05;7255644,45;7311593,52
27 + Erträge aus internen Leistungsbeziehungen;0,00;-9181,06;-13806,24;-13169,16;-13169,16;-13169,16;-13169,16;-13169,16
28 - Aufwendungen aus internen Leistungsbeziehungen;2632539,77;1896862,41;2022134,42;1727887,61;1720293,38;1730537,22;1734705,76;1738590,02
29 = Ergebnis  (= 26, 27, 28);9886995,19;9412801,54;10352148,19;8739810,53;8805532,86;8863805,11;8977181,05;9037014,38
