"";"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-278.697,32 EUR";"";"";"";"";"";"";""
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"-929.443,74 EUR";"0,00 EUR";"";"";"";"";"";""
"7 + Sonstige ordentliche Ertäge";"-388,30 EUR";"0,00 EUR";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge (Summe 1-9)";"-1.208.529,36 EUR";"0,00 EUR";"";"";"";"";"";""
"11 - Personalaufwendungen";"922.327,64 EUR";"";"";"";"";"";"";""
"12 - Versorgungsaufwendungen";"0,84 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"140.048,71 EUR";"";"";"";"";"";"";""
"14 - Bilanzielle Abschreibungen";"5.387,11 EUR";"";"";"";"";"";"";""
"15 - Transferaufwendungen";"343.329,80 EUR";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"63.650,86 EUR";"";"";"";"";"";"";""
"17 = Ordentliche Aufwendungen (Summe 11-16)";"1.474.744,96 EUR";"";"";"";"";"";"";""
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"266.215,60 EUR";"0,00 EUR";"";"";"";"";"";""
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"228,06 EUR";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"228,06 EUR";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"266.443,66 EUR";"0,00 EUR";"";"";"";"";"";""
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"266.443,66 EUR";"0,00 EUR";"";"";"";"";"";""
"27 + Erträge aus internen Leistungsbeziehungen";"";"";"";"";"";"";"";""
"28 - Aufwendungen aus internen Leistungsbeziehungen";"225.564,06 EUR";"";"";"";"";"";"";""
"29 = Ergebnis  (= 26, 27, 28)";"492.007,72 EUR";"0,00 EUR";"";"";"";"";"";""
