;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-321436,84;-218289,23;-290000,00;-313151,13;-311359,27;-108495,10;-99057,86;-97151,54
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-212401,33;-43569,30;-57000,00;-57000,00;-57000,00;-57000,00;-57000,00;-57000,00
5 + Privatrechtliche Leistungsentgelte;-2157,82;-8433,79;-10165,68;-9719,40;-9719,40;-9719,40;-9719,40;-9719,40
6 + Kostenerstattungen und Kostenumlagen;-1330,81;-3924,44;-100,00;-2500,00;-2500,00;-2500,00;-2500,00;-2500,00
7 + Sonstige ordentliche Ertäge;-732,32;-30470,23;-750,00;-750,00;-750,00;-750,00;-750,00;-750,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge (Summe 1-9);-538059,12;-304686,99;-358015,68;-383120,53;-381328,67;-178464,50;-169027,26;-167120,94
11 - Personalaufwendungen;790148,49;732911,55;;588174,56;596031,20;603788,00;614028,44;625107,68
12 - Versorgungsaufwendungen;0,59;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;345399,12;333576,37;401403,68;418577,68;418577,68;419066,32;420058,24;421079,80
14 - Bilanzielle Abschreibungen;69870,21;636287,13;;50440,49;45820,33;38568,01;27443,04;21340,69
15 - Transferaufwendungen;494471,91;139644,00;290000,00;290000,00;290000,00;90000,00;90000,00;90000,00
16 - Sonstige ordentliche Aufwendungen;77528,03;47410,39;87289,80;70028,08;70028,08;70028,08;70028,08;70028,08
17 = Ordentliche Aufwendungen (Summe 11-16);1777418,35;1889829,44;778693,48;1417220,81;1420457,29;1221450,41;1221557,80;1227556,25
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);1239359,23;1585142,45;420677,80;1034100,28;1039128,62;1042985,91;1052530,54;1060435,31
19 + Finanzerträge;-3786,91;-1428,78;;-1500,00;-1500,00;-1500,00;-1500,00;-1500,00
20 - Zinsen und sonstige Finanzaufwendungen;14,50;;;;;;;
21 = Finanzergebnis (=19 +20);-3772,41;-1428,78;;-1500,00;-1500,00;-1500,00;-1500,00;-1500,00
22 = Ordentliches Ergebnis (=18 + 21);1235586,82;1583713,67;420677,80;1032600,28;1037628,62;1041485,91;1051030,54;1058935,31
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);1235586,82;1583713,67;420677,80;1032600,28;1037628,62;1041485,91;1051030,54;1058935,31
27 + Erträge aus internen Leistungsbeziehungen;-195165,73;-230487,08;-200250,36;-200200,32;-200200,32;-200200,32;-200200,32;-200200,32
28 - Aufwendungen aus internen Leistungsbeziehungen;270960,41;226851,05;158371,85;250237,93;249041,93;250065,30;250510,10;250975,47
29 = Ergebnis  (= 26, 27, 28);1311381,50;1580077,64;378799,29;1082637,89;1086470,23;1091350,89;1101340,32;1109710,46
