;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"";"-2.943.082,19 EUR";"-2.463.549,43 EUR";"-2.111.020,80 EUR";"-200.050,33 EUR";"-187.775,57 EUR";"-163.993,36 EUR";"-162.835,59 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"-59,38 EUR";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"-890.132,54 EUR";"-852.056,04 EUR";"-783.585,88 EUR";"-783.585,88 EUR";"-783.585,88 EUR";"-783.585,88 EUR";"-783.585,88 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"";"-2.986,39 EUR";"";"";"";"";"";""
"7 + Sonstige ordentliche Ertäge";"";"-110.985,71 EUR";"";"-1.204,06 EUR";"-1.204,11 EUR";"-1.204,06 EUR";"-1.094,85 EUR";"-588,31 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge (Summe 1-9)";"";"-3.947.186,83 EUR";"-3.315.664,85 EUR";"-2.895.810,74 EUR";"-984.840,32 EUR";"-972.565,51 EUR";"-948.674,09 EUR";"-947.009,78 EUR"
"11 - Personalaufwendungen";"";"518.306,14 EUR";"549.365,91 EUR";"793.877,76 EUR";"809.787,72 EUR";"827.112,92 EUR";"844.831,84 EUR";"860.157,72 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"0,00 EUR";"6.573.878,82 EUR";"6.008.460,12 EUR";"5.820.392,44 EUR";"5.820.392,44 EUR";"5.898.221,68 EUR";"6.056.214,76 EUR";"6.218.947,84 EUR"
"14 - Bilanzielle Abschreibungen";"";"186.626,07 EUR";"91.288,02 EUR";"203.088,01 EUR";"180.752,68 EUR";"142.190,19 EUR";"115.648,02 EUR";"86.867,08 EUR"
"15 - Transferaufwendungen";"";"2.903.359,58 EUR";"2.343.900,00 EUR";"1.918.900,00 EUR";"26.900,00 EUR";"26.900,00 EUR";"26.900,00 EUR";"26.900,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"";"7.966.582,68 EUR";"8.181.089,86 EUR";"7.561.266,88 EUR";"7.561.266,88 EUR";"7.561.266,88 EUR";"7.561.266,88 EUR";"7.561.266,88 EUR"
"17 = Ordentliche Aufwendungen (Summe 11-16)";"0,00 EUR";"18.148.753,29 EUR";"17.174.103,91 EUR";"16.297.525,09 EUR";"14.399.099,72 EUR";"14.455.691,67 EUR";"14.604.861,50 EUR";"14.754.139,52 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"0,00 EUR";"14.201.566,46 EUR";"13.858.439,06 EUR";"13.401.714,35 EUR";"13.414.259,40 EUR";"13.483.126,16 EUR";"13.656.187,41 EUR";"13.807.129,74 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"0,00 EUR";"14.201.566,46 EUR";"13.858.439,06 EUR";"13.401.714,35 EUR";"13.414.259,40 EUR";"13.483.126,16 EUR";"13.656.187,41 EUR";"13.807.129,74 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"0,00 EUR";"14.201.566,46 EUR";"13.858.439,06 EUR";"13.401.714,35 EUR";"13.414.259,40 EUR";"13.483.126,16 EUR";"13.656.187,41 EUR";"13.807.129,74 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"";"";"";"";"";"";"";""
"28 - Aufwendungen aus internen Leistungsbeziehungen";"";"678.462,25 EUR";"625.694,57 EUR";"554.742,80 EUR";"545.111,63 EUR";"553.872,91 EUR";"561.900,08 EUR";"569.870,72 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"0,00 EUR";"14.880.028,71 EUR";"14.484.133,63 EUR";"13.956.457,15 EUR";"13.959.371,03 EUR";"14.036.999,07 EUR";"14.218.087,49 EUR";"14.377.000,46 EUR"
