;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-784,27 EUR";"";"";"";"";"-56,54 EUR";"";""
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Ertäge";"";"";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge (Summe 1-9)";"-784,27 EUR";"";"";"";"";"-56,54 EUR";"";""
"11 - Personalaufwendungen";"94.594,50 EUR";"";"";"";"";"140.457,42 EUR";"94.518,66 EUR";""
"12 - Versorgungsaufwendungen";"0,08 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"145.648,54 EUR";"125,73 EUR";"";"";"";"107.175,60 EUR";"78.503,64 EUR";""
"14 - Bilanzielle Abschreibungen";"1.242,02 EUR";"";"";"";"";"56,54 EUR";"";""
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"2.777,37 EUR";"-450,00 EUR";"";"";"";"9.977,04 EUR";"6.651,36 EUR";""
"17 = Ordentliche Aufwendungen (Summe 11-16)";"244.262,51 EUR";"-324,27 EUR";"";"";"";"257.666,60 EUR";"179.673,66 EUR";""
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"243.478,24 EUR";"-324,27 EUR";"";"";"";"257.610,06 EUR";"179.673,66 EUR";""
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"243.478,24 EUR";"-324,27 EUR";"";"";"";"257.610,06 EUR";"179.673,66 EUR";""
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"243.478,24 EUR";"-324,27 EUR";"";"";"";"257.610,06 EUR";"179.673,66 EUR";""
"27 + Erträge aus internen Leistungsbeziehungen";"";"";"";"";"";"";"";""
"28 - Aufwendungen aus internen Leistungsbeziehungen";"52.572,78 EUR";"6.810,33 EUR";"263,76 EUR";"549,00 EUR";"549,00 EUR";"12.984,02 EUR";"9.217,60 EUR";"549,00 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"296.051,02 EUR";"6.486,06 EUR";"263,76 EUR";"549,00 EUR";"549,00 EUR";"270.594,08 EUR";"188.891,26 EUR";"549,00 EUR"
