;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;-381830941,64;-420621728,00;-432039000,00;-460710500,00;-472712000,00;-484385000,00;-496460000,00;-507139000,00
2 + Zuwendungen und allgemeine Umlagen;-385154642,48;-361206137,40;-359676510,29;-351210862,60;-352538928,73;-361955811,60;-368700362,47;-363537180,09
3 + Sonstige Transfererträge;-6694474,22;-7350861,72;-5689550,00;-5487050,00;-5447050,00;-5447050,00;-5447050,00;-5447050,00
4 + Öffentlich-rechtliche Leistungsentgelte;-183828995,50;-186747662,99;-185426535,46;-182755051,18;-183007748,04;-183152096,88;-182370807,80;-182356075,81
5 + Privatrechtliche Leistungsentgelte;-16453625,03;-17122360,86;-17184570,00;-33063610,00;-33176610,00;-33426610,00;-33509610,00;-33572210,00
6 + Kostenerstattungen und Kostenumlagen;-87751996,30;-121992525,69;-119897182,00;-144755913,00;-147184812,00;-149842150,00;-150319003,00;-150095994,00
7 + Sonstige ordentliche Erträge;-137644320,41;-90159987,90;-95448393,19;-48009392,01;-48093724,85;-45607738,39;-45605553,17;-45603110,99
8 + Aktivierte Eigenleistungen;-662832,45;-518330,41;-420581,88;-398372,04;-412491,00;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-1200021828,03;-1205719594,97;-1215782322,82;-1226390750,83;-1242573364,62;-1263816456,87;-1282412386,44;-1287750620,89
11 - Personalaufwendungen;227922344,67;227192058,14;234289556,83;218898865,00;219319948,00;221390279,00;221559493,00;223935731,00
12 - Versorgungsaufwendungen;51503515,14;31988912,44;51467402,00;23822652,00;24129252,00;24420152,00;24930339,00;25244971,00
13 - Aufwendungen für Sach- und Dienstleistungen;126470418,00;119949464,82;127225510,70;240388216,00;237669878,00;238770380,00;240050296,00;240705383,00
14 - Bilanzielle Abschreibungen;96513008,95;53676836,06;42293203,51;38243981,39;36960890,55;35710282,05;28802950,72;23559610,91
15 - Transferaufwendungen;370351923,33;398357055,23;406062544,30;434243343,00;439920257,00;449268757,00;457578670,00;465645926,00
16 - Sonstige ordentliche Aufwendungen;360678122,88;368883430,94;326577239,00;247660054,00;247215144,00;247292984,00;247495274,00;247625224,00
17 = Ordentliche Aufwendungen;1233439332,97;1200047757,63;1187915456,34;1203257111,39;1205215369,55;1216852834,05;1220417022,72;1226716845,91
18 = Ordentliches Ergebnis (= 10 + 17);33417504,94;-5671837,34;-27866866,48;-23133639,44;-37357995,07;-46963622,82;-61995363,72;-61033774,98
19 + Finanzerträge;-7290152,66;-11552129,98;-8047200,00;-8305000,00;-8455200,00;-8603900,00;-8550800,00;-8596000,00
20 - Zinsen und ähnliche Finanzaufwendungen;51115584,80;57807735,03;69215800,00;66886020,00;66700400,00;67172300,00;69776300,00;68512400,00
21 = Finanzergebnis (= 19 + 20);43825432,14;46255605,05;61168600,00;58581020,00;58245200,00;58568400,00;61225500,00;59916400,00
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);77242937,08;40583767,71;33301733,52;35447380,56;20887204,93;11604777,18;-769863,72;-1117374,98
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Jahresergebnis (= 22 + 25);77242937,08;40583767,71;33301733,52;35447380,56;20887204,93;11604777,18;-769863,72;-1117374,98
Nachrichtlich Verrechnung mit allgRücklage;;;;;;;;
27 + Verrechnete Erträge bei Vermögensgegenständen;;;;;;;;
28 - Verrechnete Aufwendungen bei Vermögensgegenständen;;;;;;;;
29 = Verrechnungssaldo (= 27 + 28);;;;;;;;
