;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-273694,24;-28480,26;-76,80;-52,25;-52,24;-52,24;-52,24;-52,25
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-579,77;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-1671,25;-177725,43;-66892,79;-113573,55;-114784,57;-115212,62;-115394,18;-115368,93
7 + Sonstige ordentliche Erträge;;-215,30;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-275945,26;-206420,99;-66969,59;-113625,80;-114836,81;-115264,86;-115446,42;-115421,18
11 - Personalaufwendungen;1372682,61;1352067,35;1078434,68;1123041,52;1135203,69;1148094,48;1164033,12;1180827,57
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;69777,91;31637,19;51168,00;46300,00;47600,00;48800,00;49800,00;50800,00
14 - Bilanzielle Abschreibungen;1623,05;3043,65;487,19;462,63;462,63;462,61;462,63;451,46
15 - Transferaufwendungen;500,00;3000,00;;;;;;
16 - Sonstige ordentliche Aufwendungen;2638070,26;2529740,59;2554975,00;2564850,00;2577750,00;2577750,00;2577750,00;2601750,00
17 = Ordentliche Aufwendungen;4082653,83;3919488,78;3685064,87;3734654,15;3761016,32;3775107,09;3792045,75;3833829,03
18 = Ordentliches Ergebnis (= 10 + 17);3806708,57;3713067,79;3618095,28;3621028,35;3646179,51;3659842,23;3676599,33;3718407,85
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);3806708,57;3713067,79;3618095,28;3621028,35;3646179,51;3659842,23;3676599,33;3718407,85
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);3806708,57;3713067,79;3618095,28;3621028,35;3646179,51;3659842,23;3676599,33;3718407,85
27 + Erträge aus internen Leistungsbeziehungen;-3913841,12;-3933059,15;-3719512,57;-3525522,05;-3548782,81;-3561419,93;-3576949,13;-3615667,34
28 - Aufwendungen aus internen Leistungsbeziehungen;424471,10;363149,04;402998,05;190345,18;190340,87;190339,67;190370,96;190419,97
29 = Teilergebnis  (= 26, 27, 28);317338,55;143157,68;301580,76;285851,48;287737,57;288761,97;290021,16;293160,48
