;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-1287281,43;-1990917,23;-134361,82;-1317625,16;-142,74;-71,37;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-160,00;-130,00;;-200000,00;-200000,00;-200000,00;-200000,00;
5 + Privatrechtliche Leistungsentgelte;;-645,50;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-314029,94;-695695,52;-310000,00;-256000,00;-6000,00;-6000,00;-556000,00;
7 + Sonstige ordentliche Erträge;-56584,65;-136170,91;-2000,00;-2000,00;-2000,00;-2000,00;-2000,00;-2000,00
8 + Aktivierte Eigenleistungen;0,00;0,00;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-1658056,02;-2823559,16;-446361,82;-1775625,16;-208142,74;-208071,37;-758000,00;-2000,00
11 - Personalaufwendungen;2311224,44;2074012,89;2122783,68;1966452,00;1943305,72;1937283,32;1936644,20;1958265,93
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;572002,81;823167,83;282169,76;2045280,00;445200,00;269250,00;610300,00;71350,00
14 - Bilanzielle Abschreibungen;26734,84;16150,08;28290,27;331,16;142,74;71,37;;
15 - Transferaufwendungen;574998,69;554818,87;102069,00;309450,00;0,00;0,00;;
16 - Sonstige ordentliche Aufwendungen;100602,34;683119,94;136174,92;127850,00;127850,00;127850,00;127850,00;127850,00
17 = Ordentliche Aufwendungen;3585563,12;4151269,61;2671487,63;4449363,16;2516498,46;2334454,69;2674794,20;2157465,93
18 = Ordentliches Ergebnis (= 10 + 17);1927507,10;1327710,45;2225125,81;2673738,00;2308355,72;2126383,32;1916794,20;2155465,93
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1927507,10;1327710,45;2225125,81;2673738,00;2308355,72;2126383,32;1916794,20;2155465,93
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1927507,10;1327710,45;2225125,81;2673738,00;2308355,72;2126383,32;1916794,20;2155465,93
27 + Erträge aus internen Leistungsbeziehungen;-302715,00;-290996,00;-302736,00;-87900,00;-87900,00;-87900,00;-87900,00;-87900,00
28 - Aufwendungen aus internen Leistungsbeziehungen;505502,02;391815,93;563056,20;421208,41;409785,12;399261,87;415315,02;399168,85
29 = Teilergebnis  (= 26, 27, 28);2130294,12;1428530,38;2485446,01;3007046,41;2630240,84;2437745,19;2244209,22;2466734,78
