;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-183097,38;-353952,47;-3072,35;-3101,02;-3101,01;-3101,02;-3101,01;-3101,02
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-66400,58;-32962,84;-61450,00;-61200,00;-61200,00;-61200,00;-61200,00;-61200,00
6 + Kostenerstattungen und Kostenumlagen;-466568,49;-478718,33;-471008,51;-291918,22;-296661,97;-301403,65;-306195,24;-310991,85
7 + Sonstige ordentliche Erträge;;-24457,68;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-716066,45;-890091,32;-535530,86;-356219,24;-360962,98;-365704,67;-370496,25;-375292,87
11 - Personalaufwendungen;1281663,66;1411153,49;871508,17;868496,56;864714,56;866660,48;869899,80;880612,58
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;1638593,62;870352,26;949741,00;948850,00;960600,00;1013200,00;1012750,00;1052700,00
14 - Bilanzielle Abschreibungen;550,17;980,35;97,43;111,02;111,01;111,02;111,01;111,02
15 - Transferaufwendungen;13650610,94;14126988,64;19740632,00;19146850,00;18384800,00;18525100,00;18662800,00;18803300,00
16 - Sonstige ordentliche Aufwendungen;2235061,33;3116049,99;2490501,00;3432870,00;3432870,00;3432870,00;3432870,00;3432870,00
17 = Ordentliche Aufwendungen;18806479,72;19525524,73;24052479,60;24397177,58;23643095,57;23837941,50;23978430,81;24169593,60
18 = Ordentliches Ergebnis (= 10 + 17);18090413,27;18635433,41;23516948,74;24040958,34;23282132,59;23472236,83;23607934,56;23794300,73
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;1490,74;;;;;;;
21 = Finanzergebnis (= 19 + 20);1490,74;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);18091904,01;18635433,41;23516948,74;24040958,34;23282132,59;23472236,83;23607934,56;23794300,73
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);18091904,01;18635433,41;23516948,74;24040958,34;23282132,59;23472236,83;23607934,56;23794300,73
27 + Erträge aus internen Leistungsbeziehungen;-454303,18;-515219,64;-398265,93;-342094,88;-344435,35;-347027,21;-351152,35;-355605,22
28 - Aufwendungen aus internen Leistungsbeziehungen;3158790,96;200326,04;257222,51;146841,31;145925,82;147013,73;146142,02;147348,27
29 = Teilergebnis  (= 26, 27, 28);20796391,79;18320539,81;23375905,32;23845704,77;23083623,06;23272223,35;23402924,23;23586043,78
