;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-751522,40;-719200,36;-621858,99;-522370,51;-499258,29;-499174,20;-498749,09;-498699,08
3 + Sonstige Transfererträge;-144939,31;-193382,67;-311000,00;-206000,00;-206000,00;-206000,00;-206000,00;-206000,00
4 + Öffentlich-rechtliche Leistungsentgelte;-790923,41;-1060810,39;-828100,00;-873100,00;-823100,00;-823100,00;-823100,00;-823100,00
5 + Privatrechtliche Leistungsentgelte;-18879,11;-23360,33;-14800,00;-16000,00;-16000,00;-16000,00;-16000,00;-16000,00
6 + Kostenerstattungen und Kostenumlagen;-1121545,06;-1712023,14;-919000,00;-1430200,00;-1530200,00;-1530200,00;-1530200,00;-1530200,00
7 + Sonstige ordentliche Erträge;-319265,24;-382494,85;-800,00;-2700,00;-2700,00;-2700,00;-2700,00;-2700,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-3147074,53;-4091271,74;-2695558,99;-3050370,51;-3077258,29;-3077174,20;-3076749,09;-3076699,08
11 - Personalaufwendungen;5340272,92;5579234,69;5656405,34;5639338,80;5679556,96;5735757,18;5798666,71;5882402,22
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;966851,60;1023297,58;1034563,00;1466886,00;1338569,00;1358599,00;1372599,00;1387809,00
14 - Bilanzielle Abschreibungen;42365,07;48204,89;17185,52;15503,89;11735,14;11096,52;8366,28;8366,28
15 - Transferaufwendungen;8307801,60;10444021,88;11066000,00;17825392,00;15345089,00;15342039,00;15337489,00;15333074,00
16 - Sonstige ordentliche Aufwendungen;1315459,10;1617199,32;1057224,00;1603116,00;1340116,00;1340716,00;1341516,00;1342216,00
17 = Ordentliche Aufwendungen;15972750,29;18711958,36;18831377,86;26550236,69;23715066,10;23788207,70;23858636,99;23953867,50
18 = Ordentliches Ergebnis (= 10 + 17);12825675,76;14620686,62;16135818,87;23499866,18;20637807,81;20711033,50;20781887,90;20877168,42
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;144,02;42,84;0,00;20,00;0,00;0,00;0,00;0,00
21 = Finanzergebnis (= 19 + 20);144,02;42,84;0,00;20,00;0,00;0,00;0,00;0,00
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);12825819,78;14620729,46;16135818,87;23499886,18;20637807,81;20711033,50;20781887,90;20877168,42
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);12825819,78;14620729,46;16135818,87;23499886,18;20637807,81;20711033,50;20781887,90;20877168,42
27 + Erträge aus internen Leistungsbeziehungen;-199995,72;-196121,64;-199297,08;-204302,04;-204302,04;-204302,04;-204302,04;-204302,04
28 - Aufwendungen aus internen Leistungsbeziehungen;1098596,05;1096522,40;958111,28;950282,47;941249,89;940737,79;941270,06;945099,20
29 = Teilergebnis  (= 26, 27, 28);13724420,11;15521130,22;16894633,07;24245866,61;21374755,66;21447469,25;21518855,92;21617965,58
