;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-2405910,03;-1668888,38;-2756816,58;-3712271,49;-1315525,29;-1094411,05;-1030829,36;-1028199,74
3 + Sonstige Transfererträge;-5053905,33;-5454880,77;-4190000,00;-4065000,00;-4065000,00;-4065000,00;-4065000,00;-4065000,00
4 + Öffentlich-rechtliche Leistungsentgelte;-435485,48;-440090,14;-217144,00;-217150,00;-217150,00;-217150,00;-217150,00;-217150,00
5 + Privatrechtliche Leistungsentgelte;-392078,35;-369768,08;-362500,00;-362500,00;-362500,00;-362500,00;-362500,00;-362500,00
6 + Kostenerstattungen und Kostenumlagen;-4776409,53;-5330623,79;-4681950,00;-5439700,00;-5439700,00;-5423700,00;-5423700,00;-5423700,00
7 + Sonstige ordentliche Erträge;-1817370,96;-334747,68;-366181,82;-353181,81;-353181,82;-603181,81;-603181,82;-603181,81
8 + Aktivierte Eigenleistungen;;;0,00;0,00;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-14881159,68;-13598998,84;-12574592,40;-14149803,30;-11753057,11;-11765942,86;-11702361,18;-11699731,55
11 - Personalaufwendungen;16494422,03;17026742,98;15754687,47;16031316,40;16010785,46;16084265,44;16162542,50;16364162,54
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;4998575,26;7094390,79;8976038,00;5973850,00;4878200,00;4897800,00;4925000,00;4950300,00
14 - Bilanzielle Abschreibungen;151083,46;128195,90;96617,27;100366,43;98555,48;94053,39;87266,78;83903,16
15 - Transferaufwendungen;64092741,03;68877845,19;67293075,00;72135672,00;71944107,00;72755272,00;73680872,00;74004222,00
16 - Sonstige ordentliche Aufwendungen;5078062,28;3376797,43;3050410,00;3094240,00;3144240,00;3189140,00;3239140,00;3239140,00
17 = Ordentliche Aufwendungen;90814884,06;96503972,29;95170827,74;97335444,83;96075887,94;97020530,83;98094821,28;98641727,70
18 = Ordentliches Ergebnis (= 10 + 17);75933724,38;82904973,45;82596235,34;83185641,53;84322830,83;85254587,97;86392460,10;86941996,15
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);75933724,38;82904973,45;82596235,34;83185641,53;84322830,83;85254587,97;86392460,10;86941996,15
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);75933724,38;82904973,45;82596235,34;83185641,53;84322830,83;85254587,97;86392460,10;86941996,15
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;2847486,71;3079852,78;2671149,49;2415004,68;2417134,30;2409855,26;2405474,42;2413544,89
29 = Teilergebnis  (= 26, 27, 28);78781211,09;85984826,23;85267384,83;85600646,21;86739965,13;87664443,23;88797934,52;89355541,04
