"";"Ergebnis des Vorvorvorjahres #/2011";"Ergebnis des Vorvorjahres #/2012";"Ansatz des Vorjahres #/2013";"Planung des Haushaltsjahres #/2014";"Planung des Haushaltsjahres #/2015";"Planung des Haushaltsjahres #/2016";"Planung des Haushaltsjahres #/2017";"Planung des Haushaltsjahres #/2018"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-47.474,85 EUR";"-101.970,58 EUR";"-24.622,99 EUR";"-137.860,78 EUR";"-131.562,11 EUR";"-120.982,72 EUR";"-99.333,26 EUR";"-80.165,61 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"-4.389.840,10 EUR";"-4.222.697,96 EUR";"-4.520.000,00 EUR";"-4.220.000,00 EUR";"-4.220.000,00 EUR";"-4.220.000,00 EUR";"-4.220.000,00 EUR";"-4.220.000,00 EUR"
"5 + Privatrechtliche Leistungsentgelte";"-89.575,63 EUR";"-85.911,75 EUR";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"-72.911,85 EUR";"-83.078,65 EUR";"-50.000,00 EUR";"-50.000,00 EUR";"-50.000,00 EUR";"-50.000,00 EUR";"-50.000,00 EUR";"-50.000,00 EUR"
"7 + Sonstige ordentliche Erträge";"-10.664.094,37 EUR";"-10.957.545,25 EUR";"-8.933.000,00 EUR";"-9.808.000,00 EUR";"-9.808.000,00 EUR";"-9.808.000,00 EUR";"-9.808.000,00 EUR";"-9.808.000,00 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-15.263.896,80 EUR";"-15.451.204,19 EUR";"-13.527.622,99 EUR";"-14.215.860,78 EUR";"-14.209.562,11 EUR";"-14.198.982,72 EUR";"-14.177.333,26 EUR";"-14.158.165,61 EUR"
"11 - Personalaufwendungen";"8.362.218,22 EUR";"8.736.060,06 EUR";"10.194.559,41 EUR";"10.654.888,28 EUR";"10.731.826,76 EUR";"10.840.819,23 EUR";"10.954.939,40 EUR";"11.111.109,71 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"959.194,35 EUR";"990.149,40 EUR";"1.034.634,00 EUR";"1.250.500,00 EUR";"1.256.250,00 EUR";"1.260.200,00 EUR";"1.265.900,00 EUR";"1.268.600,00 EUR"
"14 - Bilanzielle Abschreibungen";"282.028,94 EUR";"324.594,97 EUR";"130.836,54 EUR";"200.598,77 EUR";"188.857,29 EUR";"163.556,22 EUR";"115.005,60 EUR";"89.960,15 EUR"
"15 - Transferaufwendungen";"80.000,00 EUR";"189.995,49 EUR";"190.000,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"2.171.916,54 EUR";"1.620.425,21 EUR";"425.458,00 EUR";"398.535,00 EUR";"398.435,00 EUR";"398.435,00 EUR";"398.435,00 EUR";"398.435,00 EUR"
"17 = Ordentliche Aufwendungen";"11.855.358,05 EUR";"11.861.225,13 EUR";"11.975.487,95 EUR";"12.504.522,05 EUR";"12.575.369,05 EUR";"12.663.010,45 EUR";"12.734.280,00 EUR";"12.868.104,86 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"-3.408.538,75 EUR";"-3.589.979,06 EUR";"-1.552.135,04 EUR";"-1.711.338,73 EUR";"-1.634.193,06 EUR";"-1.535.972,27 EUR";"-1.443.053,26 EUR";"-1.290.060,75 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"";"";"";"";""
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"-3.408.538,75 EUR";"-3.589.979,06 EUR";"-1.552.135,04 EUR";"-1.711.338,73 EUR";"-1.634.193,06 EUR";"-1.535.972,27 EUR";"-1.443.053,26 EUR";"-1.290.060,75 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"-3.408.538,75 EUR";"-3.589.979,06 EUR";"-1.552.135,04 EUR";"-1.711.338,73 EUR";"-1.634.193,06 EUR";"-1.535.972,27 EUR";"-1.443.053,26 EUR";"-1.290.060,75 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"3.622.248,64 EUR";"4.025.447,71 EUR";"3.909.526,84 EUR";"3.766.258,45 EUR";"3.763.736,34 EUR";"3.762.574,10 EUR";"3.763.308,74 EUR";"3.768.985,71 EUR"
"29 = Teilergebnis  (= 26, 27, 28)";"213.709,89 EUR";"435.468,65 EUR";"2.357.391,80 EUR";"2.054.919,72 EUR";"2.129.543,28 EUR";"2.226.601,83 EUR";"2.320.255,48 EUR";"2.478.924,96 EUR"
