;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-49130,34;-49423,52;-238630,34;-49523,52;-49523,54;-49523,52;-49523,54;-49523,52
3 + Sonstige Transfererträge;-58598,68;;-47500,00;0,00;0,00;0,00;0,00;0,00
4 + Öffentlich-rechtliche Leistungsentgelte;-463762,19;-250649,93;-430500,00;-169100,00;-169100,00;-169100,00;-169100,00;-169100,00
5 + Privatrechtliche Leistungsentgelte;-888,27;-609,84;-4000,00;-1000,00;-1000,00;-1000,00;-1000,00;-1000,00
6 + Kostenerstattungen und Kostenumlagen;-11639,89;-27936,21;-10000,00;-80000,00;-80000,00;-80000,00;-80000,00;-80000,00
7 + Sonstige ordentliche Erträge;-414,00;-2848,41;-400,00;-300,00;-300,00;-300,00;-300,00;-300,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-584433,37;-331467,91;-731030,34;-299923,52;-299923,54;-299923,52;-299923,54;-299923,52
11 - Personalaufwendungen;3233874,99;3265776,78;2845221,34;2991128,87;3032635,52;3077585,44;3120137,88;3167372,00
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;283260,61;236963,23;342656,00;328000,00;332050,00;336250,00;339100,00;342050,00
14 - Bilanzielle Abschreibungen;5995,34;6796,40;598,88;792,77;633,26;633,27;633,26;633,27
15 - Transferaufwendungen;208150,00;177450,00;177450,00;177450,00;177450,00;177450,00;177450,00;177450,00
16 - Sonstige ordentliche Aufwendungen;495426,35;458032,05;481740,00;473540,00;473540,00;473540,00;473540,00;473540,00
17 = Ordentliche Aufwendungen;4226707,29;4145018,46;3847666,22;3970911,64;4016308,78;4065458,71;4110861,14;4161045,27
18 = Ordentliches Ergebnis (= 10 + 17);3642273,92;3813550,55;3116635,88;3670988,12;3716385,24;3765535,19;3810937,60;3861121,75
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);3642273,92;3813550,55;3116635,88;3670988,12;3716385,24;3765535,19;3810937,60;3861121,75
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);3642273,92;3813550,55;3116635,88;3670988,12;3716385,24;3765535,19;3810937,60;3861121,75
27 + Erträge aus internen Leistungsbeziehungen;-14100,00;-350,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;618489,28;549516,48;496914,37;452975,23;453177,08;453566,61;454241,93;456211,03
29 = Teilergebnis  (= 26, 27, 28);4246663,20;4362717,03;3613550,25;4123963,35;4169562,32;4219101,80;4265179,53;4317332,78
