;"Ergebnis des Vorvorvorjahres #/2011";"Ergebnis des Vorvorjahres #/2012";"Ansatz des Vorjahres #/2013";"Planung des Haushaltsjahres #/2014";"Planung des Haushaltsjahres #/2015";"Planung des Haushaltsjahres #/2016";"Planung des Haushaltsjahres #/2017";"Planung des Haushaltsjahres #/2018"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-793.758,14 EUR";"-1.112.552,96 EUR";"-510.774,70 EUR";"-808.670,75 EUR";"-644.235,61 EUR";"-405.371,43 EUR";"-218.034,91 EUR";"-132.534,44 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"-2.014,07 EUR";"-1.193,17 EUR";"-5.000,00 EUR";"-5.000,00 EUR";"-5.000,00 EUR";"-5.000,00 EUR";"-5.000,00 EUR";"-5.000,00 EUR"
"5 + Privatrechtliche Leistungsentgelte";"-457.060,84 EUR";"-504.733,86 EUR";"-460.000,00 EUR";"-485.000,00 EUR";"-485.000,00 EUR";"-485.000,00 EUR";"-485.000,00 EUR";"-485.000,00 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"-1.856.732,61 EUR";"-3.214.960,07 EUR";"-3.359.228,00 EUR";"-3.351.700,00 EUR";"-3.351.700,00 EUR";"-3.351.700,00 EUR";"-3.351.700,00 EUR";"-3.351.700,00 EUR"
"7 + Sonstige ordentliche Erträge";"-1.401,61 EUR";"-291.210,66 EUR";"-449,48 EUR";"-215,43 EUR";"-215,41 EUR";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-3.110.967,27 EUR";"-5.124.650,72 EUR";"-4.335.452,18 EUR";"-4.650.586,18 EUR";"-4.486.151,02 EUR";"-4.247.071,43 EUR";"-4.059.734,91 EUR";"-3.974.234,44 EUR"
"11 - Personalaufwendungen";"7.214.832,52 EUR";"7.633.391,72 EUR";"6.274.549,93 EUR";"6.575.832,79 EUR";"6.683.558,44 EUR";"6.793.146,36 EUR";"6.898.142,64 EUR";"7.005.941,93 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"2.825.022,80 EUR";"3.320.716,32 EUR";"3.513.054,00 EUR";"3.729.903,00 EUR";"3.733.953,00 EUR";"3.738.153,00 EUR";"3.743.753,00 EUR";"3.749.303,00 EUR"
"14 - Bilanzielle Abschreibungen";"2.096.140,82 EUR";"2.103.559,94 EUR";"1.328.168,95 EUR";"1.480.571,48 EUR";"1.306.309,12 EUR";"959.561,70 EUR";"664.905,26 EUR";"564.816,66 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"1.714.008,28 EUR";"1.464.421,23 EUR";"1.706.224,00 EUR";"1.620.916,00 EUR";"1.610.916,00 EUR";"1.600.916,00 EUR";"1.600.916,00 EUR";"1.600.916,00 EUR"
"17 = Ordentliche Aufwendungen";"13.850.004,42 EUR";"14.522.089,21 EUR";"12.821.996,88 EUR";"13.407.223,27 EUR";"13.334.736,56 EUR";"13.091.777,06 EUR";"12.907.716,90 EUR";"12.920.977,59 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"10.739.037,15 EUR";"9.397.438,49 EUR";"8.486.544,70 EUR";"8.756.637,09 EUR";"8.848.585,54 EUR";"8.844.705,63 EUR";"8.847.981,99 EUR";"8.946.743,15 EUR"
"19 + Finanzerträge";"0,00 EUR";"-1.608,59 EUR";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"0,00 EUR";"-1.608,59 EUR";"";"";"";"";"";""
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"10.739.037,15 EUR";"9.395.829,90 EUR";"8.486.544,70 EUR";"8.756.637,09 EUR";"8.848.585,54 EUR";"8.844.705,63 EUR";"8.847.981,99 EUR";"8.946.743,15 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"10.739.037,15 EUR";"9.395.829,90 EUR";"8.486.544,70 EUR";"8.756.637,09 EUR";"8.848.585,54 EUR";"8.844.705,63 EUR";"8.847.981,99 EUR";"8.946.743,15 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-12.373.737,64 EUR";"-10.930.548,08 EUR";"-10.804.836,00 EUR";"-8.381.006,67 EUR";"-8.382.832,92 EUR";"-8.382.014,65 EUR";"-8.375.687,08 EUR";"-8.378.635,67 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"848.359,70 EUR";"860.814,00 EUR";"689.523,35 EUR";"659.152,71 EUR";"658.190,30 EUR";"657.494,84 EUR";"658.282,41 EUR";"662.100,89 EUR"
"29 = Teilergebnis  (= 26, 27, 28)";"-786.340,79 EUR";"-673.904,18 EUR";"-1.628.767,95 EUR";"1.034.783,13 EUR";"1.123.942,92 EUR";"1.120.185,82 EUR";"1.130.577,32 EUR";"1.230.208,37 EUR"
