;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-30614918,92;-33899613,74;-29375701,60;-34186411,08;-34864444,54;-37524079,82;-37781017,02;-38581986,68
3 + Sonstige Transfererträge;-2900233,96;-3159440,23;-2760000,00;-2635000,00;-2635000,00;-2635000,00;-2635000,00;-2635000,00
4 + Öffentlich-rechtliche Leistungsentgelte;-7642516,84;-6286159,71;-5679144,00;-6551150,00;-6707650,00;-6781150,00;-6935650,00;-7052150,00
5 + Privatrechtliche Leistungsentgelte;-1392155,59;-1600973,91;-1685000,00;-1810000,00;-1859000,00;-1859000,00;-1927000,00;-1964000,00
6 + Kostenerstattungen und Kostenumlagen;-2075511,69;-3015085,18;-1981950,00;-2739700,00;-2739700,00;-2723700,00;-2723700,00;-2723700,00
7 + Sonstige ordentliche Erträge;-766373,78;-928851,95;-206715,17;-193886,56;-193757,29;-443712,28;-443375,98;-443338,48
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-45391710,78;-48890124,72;-41688510,77;-48116147,64;-48999551,83;-51966642,10;-52445743,00;-53400175,16
11 - Personalaufwendungen;42543535,71;44491321,17;44406292,59;48880430,08;50413445,66;51838374,76;52714647,04;54129212,92
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;9106249,37;10509447,03;11822207,80;8793739,24;9364123,44;9605885,08;9789680,00;10043662,56
14 - Bilanzielle Abschreibungen;265604,37;265362,36;167298,05;197349,17;191352,88;179108,69;159662,38;144240,86
15 - Transferaufwendungen;94761877,28;101800798,79;97509430,00;104318072,00;106736072,00;110791972,00;112336072,00;113726222,00
16 - Sonstige ordentliche Aufwendungen;9429634,89;8935338,79;8419154,08;8496470,36;8529995,04;8669419,84;8762944,60;8847944,64
17 = Ordentliche Aufwendungen;156106901,62;166002268,14;162324382,52;170686060,85;175234989,02;181084760,37;183763006,02;186891282,98
18 = Ordentliches Ergebnis (= 10 + 17);110715190,84;117112143,42;120635871,75;122569913,21;126235437,19;129118118,27;131317263,02;133491107,82
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);110715190,84;117112143,42;120635871,75;122569913,21;126235437,19;129118118,27;131317263,02;133491107,82
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);110715190,84;117112143,42;120635871,75;122569913,21;126235437,19;129118118,27;131317263,02;133491107,82
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;6331991,75;6678011,78;6024494,77;5556156,44;5626566,10;5673450,57;5697726,55;5771209,04
29 = Teilergebnis  (= 26, 27, 28);117047182,59;123790155,20;126660366,52;128126069,65;131862003,29;134791568,84;137014989,57;139262316,86
