;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-6571,88;-2571,89;-71,88;-47,33;-47,32;-47,32;-47,32;-47,33
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;-56370,90;-18536,59;-30143,96;-30526,97;-30807,99;-31080,26;-31120,15
7 + Sonstige ordentliche Erträge;;-69,80;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-6571,88;-59012,59;-18608,47;-30191,29;-30574,29;-30855,31;-31127,58;-31167,48
11 - Personalaufwendungen;1048127,71;1022554,19;809515,13;854690,80;862716,41;871366,88;883035,17;895415,85
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;56843,25;22084,14;40184,48;28340,04;29380,00;30340,00;31139,96;31940,04
14 - Bilanzielle Abschreibungen;1293,53;2414,71;381,25;356,68;356,69;356,68;356,69;347,79
15 - Transferaufwendungen;500,00;3000,00;;;;;;
16 - Sonstige ordentliche Aufwendungen;68792,59;40394,21;43830,12;45749,84;45749,84;45749,84;45749,96;45749,84
17 = Ordentliche Aufwendungen;1175557,08;1090447,25;893910,98;929137,36;938202,94;947813,40;960281,78;973453,52
18 = Ordentliches Ergebnis (= 10 + 17);1168985,20;1031434,66;875302,51;898946,07;907628,65;916958,09;929154,20;942286,04
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1168985,20;1031434,66;875302,51;898946,07;907628,65;916958,09;929154,20;942286,04
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1168985,20;1031434,66;875302,51;898946,07;907628,65;916958,09;929154,20;942286,04
27 + Erträge aus internen Leistungsbeziehungen;-1395184,97;-1261548,63;-1072877,66;-959071,29;-967095,25;-975720,26;-987022,15;-999202,63
28 - Aufwendungen aus internen Leistungsbeziehungen;339322,90;276030,21;284564,43;137886,72;137878,69;137873,41;137895,81;137931,74
29 = Teilergebnis  (= 26, 27, 28);113123,13;45916,24;86989,28;77761,50;78412,09;79111,24;80027,86;81015,15
