;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-482,63;-29,41;-29,40;-29,41;-29,40;-29,41;-29,40;-29,41
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-117,00;-52480,56;-20692,95;-33005,83;-33114,82;-33256,97;-33325,67;-33337,83
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-599,63;-52509,97;-20722,35;-33035,24;-33144,22;-33286,38;-33355,07;-33367,24
11 - Personalaufwendungen;1065504,93;1088817,61;1104088,60;976727,28;974996,27;978943,15;983942,71;996425,57
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;41040,32;16701,21;35857,00;26400,00;27150,00;27920,00;28450,00;29000,00
14 - Bilanzielle Abschreibungen;196,70;1329,31;173,37;173,36;173,37;173,37;173,38;173,37
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;80869,06;73163,93;84565,00;84600,00;84600,00;84600,00;84600,00;84600,00
17 = Ordentliche Aufwendungen;1187611,01;1180012,06;1224683,97;1087900,64;1086919,64;1091636,52;1097166,09;1110198,94
18 = Ordentliches Ergebnis (= 10 + 17);1187011,38;1127502,09;1203961,62;1054865,40;1053775,42;1058350,14;1063811,02;1076831,70
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1187011,38;1127502,09;1203961,62;1054865,40;1053775,42;1058350,14;1063811,02;1076831,70
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1187011,38;1127502,09;1203961,62;1054865,40;1053775,42;1058350,14;1063811,02;1076831,70
27 + Erträge aus internen Leistungsbeziehungen;-1183754,96;-1174453,57;-1198336,37;-1050273,41;-1049211,59;-1053413,77;-1058455,28;-1070530,25
28 - Aufwendungen aus internen Leistungsbeziehungen;92723,69;89696,61;91536,79;80564,98;80507,12;80475,19;80464,61;80497,85
29 = Teilergebnis  (= 26, 27, 28);95980,11;42745,13;97162,04;85156,97;85070,95;85411,56;85820,35;86799,30
