;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-400574,00;-21316,99;-13227,80;-6724,34;-1369,35;-1369,34;-1265,40;-122,08
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-1742,00;-2423,00;-1350,00;-1350,00;-1350,00;-1350,00;-1350,00;-1350,00
5 + Privatrechtliche Leistungsentgelte;-5000,00;-5000,00;-500,00;-500,00;-500,00;-500,00;-500,00;-500,00
6 + Kostenerstattungen und Kostenumlagen;-294536,05;-868820,75;-660559,11;-1303521,02;-1302795,61;-1302374,38;-1302196,91;-1302174,06
7 + Sonstige ordentliche Erträge;-2721852,42;-8260570,87;-1364150,00;-1364150,00;-1364150,00;-1364150,00;-1364150,00;-1364150,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-3423704,47;-9158131,61;-2039786,91;-2676245,36;-2670164,96;-2669743,72;-2669462,31;-2668296,14
11 - Personalaufwendungen;9917893,29;11177653,00;11748495,00;11251574,84;11170313,55;11166660,49;11205367,83;11344352,84
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;203365,84;414654,30;258059,66;237313,60;246307,00;247391,36;250931,88;258518,20
14 - Bilanzielle Abschreibungen;50617896,05;7694536,63;15063,80;9233,57;3239,03;3088,95;2129,66;986,48
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;1828827,18;1775680,62;305884,12;323701,88;323701,88;323701,88;323701,92;323701,76
17 = Ordentliche Aufwendungen;62567982,36;21062524,55;12327502,58;11821823,89;11743561,46;11740842,68;11782131,29;11927559,28
18 = Ordentliches Ergebnis (= 10 + 17);59144277,89;11904392,94;10287715,67;9145578,53;9073396,50;9071098,96;9112668,98;9259263,14
19 + Finanzerträge;-96147,00;-48786,00;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;24163,00;;;;;;;
21 = Finanzergebnis (= 19 + 20);-71984,00;-48786,00;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);59072293,89;11855606,94;10287715,67;9145578,53;9073396,50;9071098,96;9112668,98;9259263,14
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);59072293,89;11855606,94;10287715,67;9145578,53;9073396,50;9071098,96;9112668,98;9259263,14
27 + Erträge aus internen Leistungsbeziehungen;-8985639,83;-9698518,89;-10001739,01;-7480959,63;-7448884,31;-7435916,63;-7437504,00;-7463545,77
28 - Aufwendungen aus internen Leistungsbeziehungen;3143929,18;2922202,67;3166037,68;2157803,40;2151793,70;2147818,48;2146074,60;2149929,06
29 = Teilergebnis  (= 26, 27, 28);53230583,24;5079290,72;3452014,34;3822422,30;3776305,89;3783000,81;3821239,58;3945646,43
