;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-184559,59;-190627,58;;-2998,30;-2998,30;-2998,30;-2248,72;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;-71361,37;-50000,00;-70000,00;-70000,00;-70000,00;-70000,00;-70000,00
7 + Sonstige ordentliche Erträge;;-283,94;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-184559,59;-262272,89;-50000,00;-72998,30;-72998,30;-72998,30;-72248,72;-70000,00
11 - Personalaufwendungen;863325,89;1008125,38;761577,28;776962,99;769007,32;767009,33;768580,83;777834,17
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;254452,54;261056,36;306201,32;303577,76;304008,36;304438,88;307388,88;310319,44
14 - Bilanzielle Abschreibungen;492598,73;499643,15;1255,45;2998,30;2998,30;2998,30;2248,72;
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;216778,30;233705,16;295257,28;292332,76;292332,76;292332,76;292332,76;292332,76
17 = Ordentliche Aufwendungen;1827155,46;2002530,05;1364291,33;1375871,81;1368346,74;1366779,27;1370551,19;1380486,37
18 = Ordentliches Ergebnis (= 10 + 17);1642595,87;1740257,16;1314291,33;1302873,51;1295348,44;1293780,97;1298302,47;1310486,37
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1642595,87;1740257,16;1314291,33;1302873,51;1295348,44;1293780,97;1298302,47;1310486,37
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1642595,87;1740257,16;1314291,33;1302873,51;1295348,44;1293780,97;1298302,47;1310486,37
27 + Erträge aus internen Leistungsbeziehungen;-1712682,47;-1846344,47;-1382566,89;-1395758,07;-1388233,00;-1386665,53;-1391187,03;-1403370,93
28 - Aufwendungen aus internen Leistungsbeziehungen;129893,83;165917,13;116973,21;143946,47;142962,43;142280,60;142024,04;142437,85
29 = Teilergebnis  (= 26, 27, 28);59807,23;59829,82;48697,65;51061,91;50077,87;49396,04;49139,48;49553,29
