;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-2245,81;-599,47;-579,53;-1023,49;-1023,48;-1023,49;-816,46;-609,45
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-12932,80;-361804,40;-248000,00;-317000,00;-317000,00;-317000,00;-317000,00;-317000,00
7 + Sonstige ordentliche Erträge;-742,95;-1993,08;-500,00;-750,00;-750,00;-750,00;-750,00;-750,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-15921,56;-364396,95;-249079,53;-318773,49;-318773,48;-318773,49;-318566,46;-318359,45
11 - Personalaufwendungen;1042515,07;1969434,28;1035160,73;1521001,36;1508521,04;1506964,51;1511361,45;1529862,99
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;196261,59;305194,31;193696,24;257992,24;259461,64;271031,12;272231,12;273300,56
14 - Bilanzielle Abschreibungen;6001,02;5810,29;2805,77;2766,10;2766,06;2746,86;2539,81;609,45
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;67807,32;1841022,71;1817532,08;1866147,24;1866147,24;1921147,24;1921147,24;1921147,24
17 = Ordentliche Aufwendungen;1312585,00;4121461,59;3049194,82;3647906,94;3636895,98;3701889,73;3707279,62;3724920,24
18 = Ordentliches Ergebnis (= 10 + 17);1296663,44;3757064,64;2800115,29;3329133,45;3318122,50;3383116,24;3388713,16;3406560,79
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1296663,44;3757064,64;2800115,29;3329133,45;3318122,50;3383116,24;3388713,16;3406560,79
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1296663,44;3757064,64;2800115,29;3329133,45;3318122,50;3383116,24;3388713,16;3406560,79
27 + Erträge aus internen Leistungsbeziehungen;-1663039,32;-3636002,99;-3064536,00;-3505331,49;-3494397,10;-3488948,09;-3487377,14;-3492798,98
28 - Aufwendungen aus internen Leistungsbeziehungen;301657,96;399138,69;522768,56;266425,35;265679,84;265700,75;265492,94;265987,62
29 = Teilergebnis  (= 26, 27, 28);-64717,92;520200,34;258347,85;90227,31;89405,24;159868,90;166828,96;179749,43
