;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-321069,86;-341220,13;-280801,12;-318657,54;-288086,83;-264068,36;-237516,95;-205278,07
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-30152,00;-56507,80;-31600,00;-31600,00;-31600,00;-31600,00;-31600,00;-31600,00
5 + Privatrechtliche Leistungsentgelte;-588799,96;-675024,13;-572100,00;-633500,00;-633500,00;-633500,00;-633500,00;-633500,00
6 + Kostenerstattungen und Kostenumlagen;-666144,43;-699830,87;-636999,96;-567500,00;-555500,00;-555500,00;-555500,00;-555500,00
7 + Sonstige ordentliche Erträge;-23724,43;-65257,60;-10642,78;-10559,54;-10476,28;-10476,28;-10476,28;-10476,28
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-1629890,68;-1837840,53;-1532143,86;-1561817,08;-1519163,11;-1495144,64;-1468593,23;-1436354,35
11 - Personalaufwendungen;18132555,95;18678678,79;25783341,26;20351127,46;20564563,56;20670770,02;20973049,14;21307409,06
12 - Versorgungsaufwendungen;21193,58;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;1646016,27;1650985,86;1724799,80;1848088,04;1868178,20;1941495,72;1961701,56;1982326,56
14 - Bilanzielle Abschreibungen;1164979,58;1030633,03;841806,82;930021,21;863140,29;797955,47;718494,87;646539,05
15 - Transferaufwendungen;609,50;1125,00;;;;;;
16 - Sonstige ordentliche Aufwendungen;3394892,73;3476654,71;3546352,74;3476395,85;3469405,85;3474155,77;3474155,85;3474155,97
17 = Ordentliche Aufwendungen;24360247,61;24838077,39;31896300,62;26605632,56;26765287,90;26884376,98;27127401,42;27410430,64
18 = Ordentliches Ergebnis (= 10 + 17);22730356,93;23000236,86;30364156,76;25043815,48;25246124,79;25389232,34;25658808,19;25974076,29
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);22730356,93;23000236,86;30364156,76;25043815,48;25246124,79;25389232,34;25658808,19;25974076,29
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);22730356,93;23000236,86;30364156,76;25043815,48;25246124,79;25389232,34;25658808,19;25974076,29
27 + Erträge aus internen Leistungsbeziehungen;-261168,20;-264588,70;-235700,04;-217800,00;-217800,00;-217800,00;-217800,00;-217800,00
28 - Aufwendungen aus internen Leistungsbeziehungen;2096736,03;2617003,70;2175047,90;1850622,72;1848348,30;1843480,09;1849037,89;1863201,20
29 = Teilergebnis  (= 26, 27, 28);24565924,76;25352651,86;32303504,62;26676638,20;26876673,09;27014912,43;27290046,08;27619477,49
