;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-55496,91;-61520,18;-72167,70;-63519,25;-62296,38;-59368,13;-58784,17;-58256,42
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;-1225,61;-2362,99;-552,11;-550,41;-548,72;-548,72;-548,72;-548,72
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-56722,52;-63883,17;-72719,81;-64069,66;-62845,10;-59916,85;-59332,89;-58805,14
11 - Personalaufwendungen;166657,75;163265,98;150061,89;117218,96;117798,55;118537,53;120301,36;122239,98
12 - Versorgungsaufwendungen;432,53;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;56171,58;53225,86;79322,44;88640,24;89319,92;89964,72;90408,24;90913,52
14 - Bilanzielle Abschreibungen;69297,28;72245,48;62156,70;61724,22;59013,26;51046,63;49087,81;47291,13
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;146468,78;142878,89;155744,30;160195,49;160995,49;161745,57;161745,53;161745,41
17 = Ordentliche Aufwendungen;439027,92;431616,21;447285,33;427778,91;427127,22;421294,45;421542,94;422190,04
18 = Ordentliches Ergebnis (= 10 + 17);382305,40;367733,04;374565,52;363709,25;364282,12;361377,60;362210,05;363384,90
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);382305,40;367733,04;374565,52;363709,25;364282,12;361377,60;362210,05;363384,90
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);382305,40;367733,04;374565,52;363709,25;364282,12;361377,60;362210,05;363384,90
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;59779,10;55403,53;51379,96;36568,05;36500,92;36442,58;36455,23;36544,93
29 = Teilergebnis  (= 26, 27, 28);442084,50;423136,57;425945,48;400277,30;400783,04;397820,18;398665,28;399929,83
