;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-39,26;-104395,94;-39,24;-104050,00;-104049,99;-104050,00;-90050,03;-90050,00
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;-360,84;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;-473303,37;;-129,84;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-473342,63;-104395,94;-529,92;-104050,00;-104049,99;-104050,00;-90050,03;-90050,00
11 - Personalaufwendungen;400774,55;278489,84;448583,48;289268,52;292548,02;296050,72;300571,87;305350,17
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;5280971,60;5225849,43;5462937,96;5554854,96;5554854,96;5554854,96;5595854,80;5651405,00
14 - Bilanzielle Abschreibungen;327,13;89,09;342,06;71,67;71,66;71,67;71,70;71,67
15 - Transferaufwendungen;30,69;;;;;;;
16 - Sonstige ordentliche Aufwendungen;4745,36;3686,30;6617,64;5776,12;5776,12;5776,12;5776,32;5776,12
17 = Ordentliche Aufwendungen;5686849,33;5508114,66;5918481,14;5849971,27;5853250,76;5856753,47;5902274,69;5962602,96
18 = Ordentliches Ergebnis (= 10 + 17);5213506,70;5403718,72;5917951,22;5745921,27;5749200,77;5752703,47;5812224,66;5872552,96
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);5213506,70;5403718,72;5917951,22;5745921,27;5749200,77;5752703,47;5812224,66;5872552,96
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);5213506,70;5403718,72;5917951,22;5745921,27;5749200,77;5752703,47;5812224,66;5872552,96
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;501397,12;517657,51;459861,24;471172,31;467605,61;464156,21;463701,67;465803,93
29 = Teilergebnis  (= 26, 27, 28);5714903,82;5921376,23;6377812,46;6217093,58;6216806,38;6216859,68;6275926,33;6338356,89
