"";"Ergebnis des Vorvorvorjahres #/2011";"Ergebnis des Vorvorjahres #/2012";"Ansatz des Vorjahres #/2013";"Planung des Haushaltsjahres #/2014";"Planung des Haushaltsjahres #/2015";"Planung des Haushaltsjahres #/2016";"Planung des Haushaltsjahres #/2017";"Planung des Haushaltsjahres #/2018"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-99.140,14 EUR";"-185.161,73 EUR";"-72.281,93 EUR";"-109.857,10 EUR";"-87.165,47 EUR";"-63.460,68 EUR";"-42.154,43 EUR";"-32.309,23 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"-493.991,56 EUR";"-477.518,27 EUR";"-469.461,84 EUR";"-488.026,32 EUR";"-488.026,32 EUR";"-488.026,32 EUR";"-488.026,32 EUR";"-488.026,32 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"582,93 EUR";"-2.667,19 EUR";"";"";"";"";"";""
"7 + Sonstige ordentliche Erträge";"-1.152,19 EUR";"-54.747,16 EUR";"-1.152,22 EUR";"-1.186,16 EUR";"-1.122,96 EUR";"-1.122,96 EUR";"-1.122,96 EUR";"-1.122,96 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-593.700,96 EUR";"-720.094,35 EUR";"-542.895,99 EUR";"-599.069,58 EUR";"-576.314,75 EUR";"-552.609,96 EUR";"-531.303,71 EUR";"-521.458,51 EUR"
"11 - Personalaufwendungen";"458.806,17 EUR";"485.280,29 EUR";"582.046,45 EUR";"605.910,70 EUR";"615.503,47 EUR";"625.298,93 EUR";"634.946,12 EUR";"644.883,61 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"3.468.607,79 EUR";"3.323.634,95 EUR";"3.435.759,78 EUR";"3.483.062,28 EUR";"3.581.457,00 EUR";"3.682.799,28 EUR";"3.752.092,92 EUR";"3.822.777,96 EUR"
"14 - Bilanzielle Abschreibungen";"231.733,96 EUR";"255.335,26 EUR";"192.784,53 EUR";"195.472,04 EUR";"156.409,47 EUR";"130.989,58 EUR";"102.885,07 EUR";"90.330,39 EUR"
"15 - Transferaufwendungen";"36.931,20 EUR";"20.281,05 EUR";"20.000,00 EUR";"20.000,00 EUR";"20.000,00 EUR";"20.000,00 EUR";"20.000,00 EUR";"20.000,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"4.454.198,11 EUR";"4.701.137,58 EUR";"4.611.705,12 EUR";"4.808.219,60 EUR";"4.808.219,60 EUR";"4.808.219,60 EUR";"4.808.219,60 EUR";"4.808.219,60 EUR"
"17 = Ordentliche Aufwendungen";"8.650.277,23 EUR";"8.785.669,13 EUR";"8.842.295,88 EUR";"9.112.664,62 EUR";"9.181.589,54 EUR";"9.267.307,39 EUR";"9.318.143,71 EUR";"9.386.211,56 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"8.056.576,27 EUR";"8.065.574,78 EUR";"8.299.399,89 EUR";"8.513.595,04 EUR";"8.605.274,79 EUR";"8.714.697,43 EUR";"8.786.840,00 EUR";"8.864.753,05 EUR"
"19 + Finanzerträge";"";"";"";"-6.500,04 EUR";"-6.500,04 EUR";"-6.500,04 EUR";"-6.500,04 EUR";"-6.500,04 EUR"
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"-6.500,04 EUR";"-6.500,04 EUR";"-6.500,04 EUR";"-6.500,04 EUR";"-6.500,04 EUR"
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"8.056.576,27 EUR";"8.065.574,78 EUR";"8.299.399,89 EUR";"8.507.095,00 EUR";"8.598.774,75 EUR";"8.708.197,39 EUR";"8.780.339,96 EUR";"8.858.253,01 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"8.056.576,27 EUR";"8.065.574,78 EUR";"8.299.399,89 EUR";"8.507.095,00 EUR";"8.598.774,75 EUR";"8.708.197,39 EUR";"8.780.339,96 EUR";"8.858.253,01 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"479.647,31 EUR";"468.560,53 EUR";"413.965,20 EUR";"414.919,71 EUR";"417.813,68 EUR";"420.809,31 EUR";"422.741,77 EUR";"426.083,82 EUR"
"29 = Teilergebnis  (= 26, 27, 28)";"8.536.223,58 EUR";"8.534.135,31 EUR";"8.713.365,09 EUR";"8.922.014,71 EUR";"9.016.588,43 EUR";"9.129.006,70 EUR";"9.203.081,73 EUR";"9.284.336,83 EUR"
