;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-357078,73;-379792,03;-37657,75;-48704,04;-42611,53;-22775,55;-22023,53;-22023,51
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-238824,75;-240369,95;-234650,00;-230550,00;-230550,00;-230550,00;-230550,00;-234650,00
6 + Kostenerstattungen und Kostenumlagen;;;-50,00;-50,00;-50,00;-50,00;-50,00;-50,00
7 + Sonstige ordentliche Erträge;-10601,91;-13703,12;-4870,90;-4898,33;-4898,33;-4663,64;-4642,34;-4642,32
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-606505,39;-633865,10;-277228,65;-284202,37;-278109,86;-258039,19;-257265,87;-261365,83
11 - Personalaufwendungen;3778991,33;3686950,41;3445108,28;3567360,04;3533585,04;3532039,61;3526651,53;3563688,08
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;721995,97;662905,98;664746,00;681550,00;691200,00;701100,00;707550,00;718200,00
14 - Bilanzielle Abschreibungen;69845,79;62455,67;56269,44;53905,48;33691,48;10884,64;6375,52;6233,04
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;643544,38;616596,19;681689,00;664770,00;619770,00;619770,00;619770,00;619770,00
17 = Ordentliche Aufwendungen;5214377,47;5028908,25;4847812,72;4967585,52;4878246,52;4863794,25;4860347,05;4907891,12
18 = Ordentliches Ergebnis (= 10 + 17);4607872,08;4395043,15;4570584,07;4683383,15;4600136,66;4605755,06;4603081,18;4646525,29
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);4607872,08;4395043,15;4570584,07;4683383,15;4600136,66;4605755,06;4603081,18;4646525,29
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);4607872,08;4395043,15;4570584,07;4683383,15;4600136,66;4605755,06;4603081,18;4646525,29
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;726019,89;665596,79;613802,73;576864,78;572920,10;570720,84;568801,79;570528,28
29 = Teilergebnis  (= 26, 27, 28);5333891,97;5060639,94;5184386,80;5260247,93;5173056,76;5176475,90;5171882,97;5217053,57
