;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-1235,00;-1287,50;0,00;0,00;0,00;0,00;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-1235,00;-1287,50;0,00;0,00;0,00;0,00;;
11 - Personalaufwendungen;133002,37;120,00;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;25198,89;4618,00;0,00;0,00;0,00;0,00;;
14 - Bilanzielle Abschreibungen;1723,78;;;;;;;
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;54186,44;174,88;0,00;0,00;0,00;0,00;;
17 = Ordentliche Aufwendungen;214111,48;4912,88;0,00;0,00;0,00;0,00;;
18 = Ordentliches Ergebnis (= 10 + 17);212876,48;3625,38;0,00;0,00;0,00;0,00;;
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);212876,48;3625,38;0,00;0,00;0,00;0,00;;
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);212876,48;3625,38;0,00;0,00;0,00;0,00;;
27 + Erträge aus internen Leistungsbeziehungen;0,00;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;64094,25;;;;;;;
29 = Teilergebnis  (= 26, 27, 28);276970,73;3625,38;0,00;0,00;0,00;0,00;;
