;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-650,83;-680,14;-650,88;-33,72;-32,28;-31,56;-31,56;-31,56
3 + Sonstige Transfererträge;-28301,69;-38596,79;-25550,00;-15550,00;-15550,00;-15550,00;-15550,00;-15550,00
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;-226,44;-2354,30;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-29178,96;-41631,23;-26200,88;-15583,72;-15582,28;-15581,56;-15581,56;-15581,56
11 - Personalaufwendungen;259132,12;268327,90;276031,11;259376,80;256037,26;254883,10;255023,48;257981,62
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;8840,12;8094,27;8507,52;9086,40;9349,44;9621,00;9806,52;9997,08
14 - Bilanzielle Abschreibungen;1250,65;1215,84;686,54;42,51;41,06;40,35;40,36;40,35
15 - Transferaufwendungen;33142,95;20969,84;231100,00;51100,00;51100,00;51000,00;51100,00;51100,00
16 - Sonstige ordentliche Aufwendungen;19875,68;32054,96;23267,96;19439,73;19439,73;19439,73;19439,73;19439,73
17 = Ordentliche Aufwendungen;322241,52;330662,81;539593,13;339045,44;335967,49;334984,18;335410,09;338558,78
18 = Ordentliches Ergebnis (= 10 + 17);293062,56;289031,58;513392,25;323461,72;320385,21;319402,62;319828,53;322977,22
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);293062,56;289031,58;513392,25;323461,72;320385,21;319402,62;319828,53;322977,22
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);293062,56;289031,58;513392,25;323461,72;320385,21;319402,62;319828,53;322977,22
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;42823,08;42880,59;52128,10;34989,33;34661,06;34451,79;34344,73;34461,12
29 = Teilergebnis  (= 26, 27, 28);335885,64;331912,17;565520,35;358451,05;355046,27;353854,41;354173,26;357438,34
