"";"Ergebnis des Vorvorvorjahres #/2011";"Ergebnis des Vorvorjahres #/2012";"Ansatz des Vorjahres #/2013";"Planung des Haushaltsjahres #/2014";"Planung des Haushaltsjahres #/2015";"Planung des Haushaltsjahres #/2016";"Planung des Haushaltsjahres #/2017";"Planung des Haushaltsjahres #/2018"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-14.454,56 EUR";"-17.776,69 EUR";"-776,04 EUR";"-762,99 EUR";"-246,64 EUR";"-242,92 EUR";"-201,88 EUR";"-201,88 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"-311.416,45 EUR";"-396.177,59 EUR";"-350.000,00 EUR";"-400.000,00 EUR";"-350.000,00 EUR";"-350.000,00 EUR";"-350.000,00 EUR";"-350.000,00 EUR"
"5 + Privatrechtliche Leistungsentgelte";"-11.420,00 EUR";"-17.241,00 EUR";"-11.600,00 EUR";"-15.000,00 EUR";"-15.000,00 EUR";"-15.000,00 EUR";"-15.000,00 EUR";"-15.000,00 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"-5.930,82 EUR";"";"-2.000,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"7 + Sonstige ordentliche Erträge";"-301.074,79 EUR";"-357.172,85 EUR";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-644.296,62 EUR";"-788.368,13 EUR";"-364.376,04 EUR";"-415.762,99 EUR";"-365.246,64 EUR";"-365.242,92 EUR";"-365.201,88 EUR";"-365.201,88 EUR"
"11 - Personalaufwendungen";"940.007,72 EUR";"1.037.913,85 EUR";"1.058.420,76 EUR";"1.056.409,08 EUR";"1.066.163,27 EUR";"1.084.792,96 EUR";"1.100.889,40 EUR";"1.117.764,92 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"421.434,47 EUR";"397.372,90 EUR";"590.598,88 EUR";"953.382,28 EUR";"825.514,48 EUR";"840.926,68 EUR";"851.837,56 EUR";"863.842,88 EUR"
"14 - Bilanzielle Abschreibungen";"5.986,11 EUR";"14.991,81 EUR";"2.078,08 EUR";"1.485,97 EUR";"947,06 EUR";"943,35 EUR";"902,30 EUR";"902,31 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"742.266,32 EUR";"771.348,09 EUR";"400.126,19 EUR";"782.023,80 EUR";"517.417,43 EUR";"517.867,43 EUR";"518.467,43 EUR";"518.992,51 EUR"
"17 = Ordentliche Aufwendungen";"2.109.694,62 EUR";"2.221.626,65 EUR";"2.051.223,91 EUR";"2.793.301,13 EUR";"2.410.042,24 EUR";"2.444.530,42 EUR";"2.472.096,69 EUR";"2.501.502,62 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"1.465.398,00 EUR";"1.433.258,52 EUR";"1.686.847,87 EUR";"2.377.538,14 EUR";"2.044.795,60 EUR";"2.079.287,50 EUR";"2.106.894,81 EUR";"2.136.300,74 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"";"";"";"";""
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"1.465.398,00 EUR";"1.433.258,52 EUR";"1.686.847,87 EUR";"2.377.538,14 EUR";"2.044.795,60 EUR";"2.079.287,50 EUR";"2.106.894,81 EUR";"2.136.300,74 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"1.465.398,00 EUR";"1.433.258,52 EUR";"1.686.847,87 EUR";"2.377.538,14 EUR";"2.044.795,60 EUR";"2.079.287,50 EUR";"2.106.894,81 EUR";"2.136.300,74 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-199.995,72 EUR";"-196.121,64 EUR";"-199.297,08 EUR";"-204.302,04 EUR";"-204.302,04 EUR";"-204.302,04 EUR";"-204.302,04 EUR";"-204.302,04 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"148.673,00 EUR";"170.612,81 EUR";"151.705,05 EUR";"158.354,62 EUR";"148.060,30 EUR";"148.602,02 EUR";"149.052,59 EUR";"150.191,69 EUR"
"29 = Teilergebnis  (= 26, 27, 28)";"1.414.075,28 EUR";"1.407.749,69 EUR";"1.639.255,84 EUR";"2.331.590,72 EUR";"1.988.553,86 EUR";"2.023.587,48 EUR";"2.051.645,36 EUR";"2.082.190,39 EUR"
