;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;-5,92;-189400,00;-5,88;-5,88;-5,88;-5,88;-5,88
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;0,00;0,00;;;;
7 + Sonstige ordentliche Erträge;;-18,89;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;-24,81;-189400,00;-5,88;-5,88;-5,88;-5,88;-5,88
11 - Personalaufwendungen;51144,35;39822,38;15627,36;117987,52;118116,09;118581,30;120001,69;121829,44
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;4600,91;13023,19;6663,32;17813,12;18353,92;18907,80;19251,16;19648,96
14 - Bilanzielle Abschreibungen;119,18;481,69;1,68;5,88;5,88;5,88;5,88;5,88
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;164306,75;160639,29;145479,66;170366,91;170366,91;170366,91;170366,91;170366,91
17 = Ordentliche Aufwendungen;220171,19;213966,55;167772,02;306173,43;306842,80;307861,89;309625,64;311851,19
18 = Ordentliches Ergebnis (= 10 + 17);220171,19;213941,74;-21627,98;306167,55;306836,92;307856,01;309619,76;311845,31
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);220171,19;213941,74;-21627,98;306167,55;306836,92;307856,01;309619,76;311845,31
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);220171,19;213941,74;-21627,98;306167,55;306836,92;307856,01;309619,76;311845,31
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;29520,93;28494,86;22912,37;30688,23;30635,20;30602,19;30626,08;30715,71
29 = Teilergebnis  (= 26, 27, 28);249692,12;242436,60;1284,39;336855,78;337472,12;338458,20;340245,84;342561,02
