"";"Ergebnis des Vorvorvorjahres #/2011";"Ergebnis des Vorvorjahres #/2012";"Ansatz des Vorjahres #/2013";"Planung des Haushaltsjahres #/2014";"Planung des Haushaltsjahres #/2015";"Planung des Haushaltsjahres #/2016";"Planung des Haushaltsjahres #/2017";"Planung des Haushaltsjahres #/2018"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"";"";"";"-105,60 EUR";"-105,60 EUR";"-34,32 EUR";"-34,32 EUR";"-34,32 EUR"
"3 + Sonstige Transfererträge";"";"";"";"-572.500,00 EUR";"-532.500,00 EUR";"-532.500,00 EUR";"-532.500,00 EUR";"-532.500,00 EUR"
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"-3.230,76 EUR";"-3.230,76 EUR";"-3.230,76 EUR";"-3.230,76 EUR";"-3.230,76 EUR"
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"-500.978,84 EUR";"-512.818,04 EUR";"-524.986,88 EUR";"-530.513,60 EUR";"-543.052,40 EUR"
"7 + Sonstige ordentliche Erträge";"";"";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"";"";"";"-1.076.815,20 EUR";"-1.048.654,40 EUR";"-1.060.751,96 EUR";"-1.066.278,68 EUR";"-1.078.817,48 EUR"
"11 - Personalaufwendungen";"";"";"";"1.785.615,21 EUR";"1.773.574,12 EUR";"1.772.467,32 EUR";"1.781.727,61 EUR";"1.804.954,22 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"";"";"";"73.118,00 EUR";"74.609,24 EUR";"65.145,24 EUR";"66.637,56 EUR";"68.175,00 EUR"
"14 - Bilanzielle Abschreibungen";"";"";"";"210,96 EUR";"210,96 EUR";"139,56 EUR";"139,56 EUR";"71,28 EUR"
"15 - Transferaufwendungen";"";"";"";"5.497.510,00 EUR";"5.584.410,00 EUR";"5.676.910,00 EUR";"5.780.510,00 EUR";"5.886.930,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"";"";"";"209.453,78 EUR";"209.453,78 EUR";"209.453,78 EUR";"209.453,78 EUR";"209.453,78 EUR"
"17 = Ordentliche Aufwendungen";"";"";"";"7.565.907,95 EUR";"7.642.258,10 EUR";"7.724.115,90 EUR";"7.838.468,51 EUR";"7.969.584,28 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"";"";"";"6.489.092,75 EUR";"6.593.603,70 EUR";"6.663.363,94 EUR";"6.772.189,83 EUR";"6.890.766,80 EUR"
"19 + Finanzerträge";"";"";"";"-36.500,00 EUR";"-36.500,00 EUR";"-36.500,00 EUR";"-36.500,00 EUR";"-36.500,00 EUR"
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"-36.500,00 EUR";"-36.500,00 EUR";"-36.500,00 EUR";"-36.500,00 EUR";"-36.500,00 EUR"
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"";"";"";"6.452.592,75 EUR";"6.557.103,70 EUR";"6.626.863,94 EUR";"6.735.689,83 EUR";"6.854.266,80 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"";"";"";"6.452.592,75 EUR";"6.557.103,70 EUR";"6.626.863,94 EUR";"6.735.689,83 EUR";"6.854.266,80 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"";"";"";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"";"";"";"321.425,28 EUR";"319.699,30 EUR";"318.020,78 EUR";"317.701,20 EUR";"318.651,34 EUR"
"29 = Teilergebnis  (= 26, 27, 28)";"";"";"";"6.774.018,03 EUR";"6.876.803,00 EUR";"6.944.884,72 EUR";"7.053.391,03 EUR";"7.172.918,14 EUR"
