;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;-40032,76;-40032,76;-40010,80;-40010,80;-40010,80
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;-3230,76;-3230,76;-3230,76;-3230,76;-3230,76
5 + Privatrechtliche Leistungsentgelte;;;;-250,04;-250,04;-250,04;-250,04;-250,04
6 + Kostenerstattungen und Kostenumlagen;;;;-2505733,12;-2736565,92;-2968257,20;-3082650,48;-3215305,24
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;;;-2549246,68;-2780079,48;-3011748,80;-3126142,08;-3258796,84
11 - Personalaufwendungen;;;;907432,64;884209,01;872718,30;864990,77;872500,94
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;;;110684,48;113292,24;115947,60;118557,04;121214,00
14 - Bilanzielle Abschreibungen;;;;385,80;385,80;363,84;363,84;82,44
15 - Transferaufwendungen;;;;9443128,00;9687988,00;9928386,00;10081332,00;10229836,00
16 - Sonstige ordentliche Aufwendungen;;;;210284,84;210284,84;210284,84;210284,68;210284,76
17 = Ordentliche Aufwendungen;;;;10671915,76;10896159,89;11127700,58;11275528,33;11433918,14
18 = Ordentliches Ergebnis (= 10 + 17);;;;8122669,08;8116080,41;8115951,78;8149386,25;8175121,30
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;;;8122669,08;8116080,41;8115951,78;8149386,25;8175121,30
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;;;8122669,08;8116080,41;8115951,78;8149386,25;8175121,30
27 + Erträge aus internen Leistungsbeziehungen;;;;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;123657,58;121955,88;120892,42;120176,17;120531,84
29 = Teilergebnis  (= 26, 27, 28);;;;8246326,66;8238036,29;8236844,20;8269562,42;8295653,14
