;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-139573,77;-141876,55;-137269,30;-137571,34;-137571,33;-137549,10;-137409,89;-137370,90
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-2378,00;-228,00;0,00;0,00;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;-907,22;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-141951,77;-143011,77;-137269,30;-137571,34;-137571,33;-137549,10;-137409,89;-137370,90
11 - Personalaufwendungen;1209842,92;1153960,71;966147,35;910987,80;912268,72;918439,12;923793,96;935602,92
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;86221,19;86948,09;114273,76;115651,00;117391,08;119185,24;120412,88;121670,36
14 - Bilanzielle Abschreibungen;6009,53;5390,36;4734,38;4205,80;4054,30;3975,71;3836,50;3722,72
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;99421,19;98219,72;98409,28;99763,44;101332,80;102902,40;104471,88;104471,88
17 = Ordentliche Aufwendungen;1401494,83;1344518,88;1183564,77;1130608,04;1135046,90;1144502,47;1152515,22;1165467,88
18 = Ordentliches Ergebnis (= 10 + 17);1259543,06;1201507,11;1046295,47;993036,70;997475,57;1006953,37;1015105,33;1028096,98
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1259543,06;1201507,11;1046295,47;993036,70;997475,57;1006953,37;1015105,33;1028096,98
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1259543,06;1201507,11;1046295,47;993036,70;997475,57;1006953,37;1015105,33;1028096,98
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;178014,77;175977,94;155790,98;142550,09;142048,22;141810,80;141655,72;142146,66
29 = Teilergebnis  (= 26, 27, 28);1437557,83;1377485,05;1202086,45;1135586,79;1139523,79;1148764,17;1156761,05;1170243,64
