;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-23,52;-148,97;-23,52;-148,94;-148,93;-148,94;-148,93;-148,95
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-92117,50;-84176,20;-92050,00;-90000,00;-90000,00;-90000,00;-90000,00;-90000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;-1309,00;;;;;;
7 + Sonstige ordentliche Erträge;;-2666,10;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-92141,02;-88300,27;-92073,52;-90148,94;-90148,93;-90148,94;-90148,93;-90148,95
11 - Personalaufwendungen;1413490,82;1529834,30;1479658,98;1354064,06;1352062,44;1356503,32;1366954,62;1385648,35
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;42937,72;39435,62;47729,52;50632,48;51960,88;53332,00;54268,60;55230,88
14 - Bilanzielle Abschreibungen;2965,74;3004,98;349,91;339,84;339,83;339,83;339,83;339,81
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;129411,40;106073,06;137493,39;117926,58;117926,58;117926,58;117926,58;117926,58
17 = Ordentliche Aufwendungen;1588805,68;1678347,96;1665231,80;1522962,96;1522289,73;1528101,73;1539489,63;1559145,62
18 = Ordentliches Ergebnis (= 10 + 17);1496664,66;1590047,69;1573158,28;1432814,02;1432140,80;1437952,79;1449340,70;1468996,67
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1496664,66;1590047,69;1573158,28;1432814,02;1432140,80;1437952,79;1449340,70;1468996,67
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1496664,66;1590047,69;1573158,28;1432814,02;1432140,80;1437952,79;1449340,70;1468996,67
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;463964,72;417855,30;268507,93;179216,51;178284,90;177707,30;177618,35;178379,86
29 = Teilergebnis  (= 26, 27, 28);1960629,38;2007902,99;1841666,21;1612030,53;1610425,70;1615660,09;1626959,05;1647376,53
