;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-73342,36;-75468,75;-72585,89;-73716,88;-72377,92;-71334,28;-70205,92;-70001,68
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-5,00;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;-304,22;;;;;;
8 + Aktivierte Eigenleistungen;-482,63;-283,01;-644,16;-277,44;-277,44;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-73829,99;-76055,98;-73230,05;-73994,32;-72655,36;-71334,28;-70205,92;-70001,68
11 - Personalaufwendungen;431926,95;565719,92;378899,97;323448,56;328972,88;334566,73;339749,53;345048,11
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;36616,45;30493,30;85978,84;80592,68;80836,60;81185,32;81424,80;81667,88
14 - Bilanzielle Abschreibungen;7241,05;8259,27;4683,96;5467,59;3270,64;1782,13;303,24;16,08
15 - Transferaufwendungen;10000,00;10000,00;10000,00;10000,00;10000,00;10000,00;10000,00;10000,00
16 - Sonstige ordentliche Aufwendungen;34534,38;39834,48;48380,24;43798,96;43798,96;43798,96;43798,96;43798,96
17 = Ordentliche Aufwendungen;520318,83;654306,97;527943,01;463307,79;466879,08;471333,14;475276,53;480531,03
18 = Ordentliches Ergebnis (= 10 + 17);446488,84;578250,99;454712,96;389313,47;394223,72;399998,86;405070,61;410529,35
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);446488,84;578250,99;454712,96;389313,47;394223,72;399998,86;405070,61;410529,35
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);446488,84;578250,99;454712,96;389313,47;394223,72;399998,86;405070,61;410529,35
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;108955,61;108630,09;133147,30;81969,69;80208,26;80253,49;80330,54;80541,64
29 = Teilergebnis  (= 26, 27, 28);555444,45;686881,08;587860,26;471283,16;474431,98;480252,35;485401,15;491070,99
