;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;-230,04;;-230,06;-230,05;-230,06;-230,05;-230,06
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-1784065,65;-1845378,93;-1975000,00;-1865000,00;-1865000,00;-1865000,00;-1865000,00;-1865000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;-5802,51;-35800,00;-35800,00;-35800,00;-35800,00;-35800,00;-35800,00
7 + Sonstige ordentliche Erträge;-172400,97;-120598,18;-34750,00;-42500,00;-42500,00;-42500,00;-42500,00;-42500,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-1956466,62;-1972009,66;-2045550,00;-1943530,06;-1943530,05;-1943530,06;-1943530,05;-1943530,06
11 - Personalaufwendungen;2640274,08;2783345,70;2438852,63;2429428,52;2432090,93;2445284,33;2465682,73;2499661,15
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;83150,77;73658,43;78996,16;84354,00;86788,96;89302,00;91019,16;92783,12
14 - Bilanzielle Abschreibungen;4685,48;4936,72;248,65;230,06;230,05;230,06;230,05;230,06
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;305255,45;302997,39;234619,32;198369,90;198369,90;198369,90;198369,90;198369,90
17 = Ordentliche Aufwendungen;3033365,78;3164938,24;2752716,76;2712382,48;2717479,84;2733186,29;2755301,84;2791044,23
18 = Ordentliches Ergebnis (= 10 + 17);1076899,16;1192928,58;707166,76;768852,42;773949,79;789656,23;811771,79;847514,17
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1076899,16;1192928,58;707166,76;768852,42;773949,79;789656,23;811771,79;847514,17
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1076899,16;1192928,58;707166,76;768852,42;773949,79;789656,23;811771,79;847514,17
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;571356,26;542051,99;635438,29;476795,96;475449,86;474678,51;474602,15;475990,05
29 = Teilergebnis  (= 26, 27, 28);1648255,42;1734980,57;1342605,05;1245648,38;1249399,65;1264334,74;1286373,94;1323504,22
