;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-7159098,28;-7215955,53;-7513379,46;-7177443,92;-7171063,89;-7164437,85;-4086811,39;-4084641,88
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-3932450,02;-3935630,81;-3992093,55;-3993501,19;-3993545,44;-3993549,72;-2887017,62;-2886944,69
5 + Privatrechtliche Leistungsentgelte;-7461,96;-9540,86;-32800,00;-32800,00;-32800,00;-32800,00;-32800,00;-32800,00
6 + Kostenerstattungen und Kostenumlagen;-2308991,81;-91674,60;-296950,00;-305450,00;-305450,00;-305450,00;-305450,00;-305450,00
7 + Sonstige ordentliche Erträge;-1324685,95;-264776,38;-3212,56;-3212,57;-3212,56;-3212,57;-3212,56;-3212,57
8 + Aktivierte Eigenleistungen;-522051,57;-326140,16;-232674,72;-212364,00;-226973,28;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-15254739,59;-11843718,34;-12071110,29;-11724771,68;-11733045,17;-11499450,14;-7315291,57;-7313049,14
11 - Personalaufwendungen;5555164,53;5852763,68;5709297,45;5756022,90;5835413,97;5917849,08;6008566,85;6103115,68
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;19211130,02;19259181,09;19789001,56;19584177,36;19447090,72;19525630,44;19538747,40;19551927,92
14 - Bilanzielle Abschreibungen;23790391,24;24504645,02;24221564,87;24450355,02;24417564,51;24378452,50;19064161,79;14548242,32
15 - Transferaufwendungen;;6537,00;;;;;;
16 - Sonstige ordentliche Aufwendungen;3581974,06;6907581,65;2283270,76;2257470,76;2257470,76;2257470,76;2257470,92;2257470,76
17 = Ordentliche Aufwendungen;52138659,85;56530708,44;52003134,64;52048026,04;51957539,96;52079402,78;46868946,96;42460756,68
18 = Ordentliches Ergebnis (= 10 + 17);36883920,26;44686990,10;39932024,35;40323254,36;40224494,79;40579952,64;39553655,39;35147707,54
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;13682,73;4263,00;3100,00;3100,00;3100,00;3100,00;3100,00;3100,00
21 = Finanzergebnis (= 19 + 20);13682,73;4263,00;3100,00;3100,00;3100,00;3100,00;3100,00;3100,00
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);36897602,99;44691253,10;39935124,35;40326354,36;40227594,79;40583052,64;39556755,39;35150807,54
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);36897602,99;44691253,10;39935124,35;40326354,36;40227594,79;40583052,64;39556755,39;35150807,54
27 + Erträge aus internen Leistungsbeziehungen;-3488,69;0,00;-2000,00;-2000,00;-2000,00;-2000,00;-2000,00;-2000,00
28 - Aufwendungen aus internen Leistungsbeziehungen;7497880,60;7327612,04;7052654,51;3990475,93;3969508,65;3961939,05;3955266,22;3956729,55
29 = Teilergebnis  (= 26, 27, 28);44391994,90;52018865,14;46985778,86;44314830,29;44195103,44;44542991,69;43510021,61;39105537,09
