;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-822364,25;-733395,48;-570450,00;-535063,23;-449895,02;-388553,66;-338349,29;-334672,49
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-786522,69;-783029,16;-818295,91;-818249,99;-814402,60;-805247,16;-803440,18;-799331,12
5 + Privatrechtliche Leistungsentgelte;;-306,60;-800,00;-800,00;-800,00;-800,00;-800,00;-800,00
6 + Kostenerstattungen und Kostenumlagen;-461597,45;-495804,73;-257050,00;-308275,00;-308275,00;-308275,00;-308275,00;-308275,00
7 + Sonstige ordentliche Erträge;-540,00;-4910,25;-50,00;0,00;0,00;0,00;0,00;0,00
8 + Aktivierte Eigenleistungen;-138894,24;-188878,13;-185389,08;-183781,68;-183400,20;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-2209918,63;-2206324,35;-1832034,99;-1846169,90;-1756772,82;-1502875,82;-1450864,47;-1443078,61
11 - Personalaufwendungen;2254532,30;2323852,85;1929224,38;1903362,06;1934368,07;1965931,29;1996306,56;2027510,29
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;4813575,10;5468077,95;5208877,08;5306971,32;5309010,52;5335925,88;5373241,16;5411583,92
14 - Bilanzielle Abschreibungen;2663057,85;2678162,65;2202018,77;2156548,27;1944683,26;1675433,42;1176580,25;1087683,73
15 - Transferaufwendungen;;88066,00;;;;;;
16 - Sonstige ordentliche Aufwendungen;154936,31;122461,21;88277,20;106707,20;106707,20;106707,20;106707,04;106707,20
17 = Ordentliche Aufwendungen;9886101,56;10680620,66;9428397,43;9473588,85;9294769,05;9083997,79;8652835,01;8633485,14
18 = Ordentliches Ergebnis (= 10 + 17);7676182,93;8474296,31;7596362,44;7627418,95;7537996,23;7581121,97;7201970,54;7190406,53
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);7676182,93;8474296,31;7596362,44;7627418,95;7537996,23;7581121,97;7201970,54;7190406,53
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);7676182,93;8474296,31;7596362,44;7627418,95;7537996,23;7581121,97;7201970,54;7190406,53
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;753515,80;718038,22;834867,95;2893428,05;2893925,93;2892379,88;2892355,75;2894691,99
29 = Teilergebnis  (= 26, 27, 28);8429698,73;9192334,53;8431230,39;10520847,00;10431922,16;10473501,85;10094326,29;10085098,52
