;Ergebnis des Vorvorvorjahres #/2011;Ergebnis des Vorvorjahres #/2012;Ansatz des Vorjahres #/2013;Planung des Haushaltsjahres #/2014;Planung des Haushaltsjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-169377,10;-187926,90;-199080,00;-241302,00;-242900,00;-244900,00;-244900,00;-244900,00
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;-823,44;-194,94;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-170200,54;-188121,84;-199080,00;-241302,00;-242900,00;-244900,00;-244900,00;-244900,00
11 - Personalaufwendungen;257325,37;372840,05;185029,44;422575,20;427450,16;432638,02;439228,94;446187,44
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;19467,03;23671,30;43451,00;13127,64;13587,80;14058,20;14508,16;14958,40
14 - Bilanzielle Abschreibungen;304,82;304,82;109,88;;;;;
15 - Transferaufwendungen;66602,66;20590,00;36500,00;24900,00;24900,00;24900,00;24900,00;24900,00
16 - Sonstige ordentliche Aufwendungen;34880,49;16604,65;51050,00;64308,04;66308,04;66308,04;66307,84;66308,04
17 = Ordentliche Aufwendungen;378580,37;434010,82;316140,32;524910,88;532246,00;537904,26;544944,94;552353,88
18 = Ordentliches Ergebnis (= 10 + 17);208379,83;245888,98;117060,32;283608,88;289346,00;293004,26;300044,94;307453,88
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);208379,83;245888,98;117060,32;283608,88;289346,00;293004,26;300044,94;307453,88
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);208379,83;245888,98;117060,32;283608,88;289346,00;293004,26;300044,94;307453,88
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;47028,73;41709,92;47143,80;45899,88;45899,88;45899,88;45899,88;45899,88
29 = Teilergebnis  (= 26, 27, 28);255408,56;287598,90;164204,12;329508,76;335245,88;338904,14;345944,82;353353,76
