;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-1205,10;-29690,77;-1644,25;;;;;
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-1205,10;-29690,77;-1644,25;;;;;
11 - Personalaufwendungen;473182,56;541842,40;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;7740,11;7654,59;9006,00;;;;;
14 - Bilanzielle Abschreibungen;23,73;23,73;23,73;;;;;
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;28585,58;18786,00;20730,00;;;;;
17 = Ordentliche Aufwendungen;509531,98;568306,72;29759,73;;;;;
18 = Ordentliches Ergebnis (= 10 + 17);508326,88;538615,95;28115,48;;;;;
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);508326,88;538615,95;28115,48;;;;;
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);508326,88;538615,95;28115,48;;;;;
27 + Erträge aus internen Leistungsbeziehungen;-540222,20;-585356,46;-94897,70;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;75697,16;68047,20;74476,09;;;;;
29 = Teilergebnis  (= 26, 27, 28);43801,84;21306,69;7693,87;;;;;
