;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-29650,80;-449581,48;-350464,28;-256693,29;-256415,98;-256272,35;-256151,52;-256187,40
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-29650,80;-449581,48;-350464,28;-256693,29;-256415,98;-256272,35;-256151,52;-256187,40
11 - Personalaufwendungen;426060,50;482928,84;316219,12;426765,76;415857,44;410538,84;406711,60;410156,22
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;6679,11;3553,33;12882,44;13243,32;13434,72;13657,64;13817,04;13976,40
14 - Bilanzielle Abschreibungen;;12,74;;;;;;
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;6595,34;7478,36;10065,12;12400,84;12400,84;12400,84;12400,84;12400,84
17 = Ordentliche Aufwendungen;439334,95;493973,27;339166,68;452409,92;441693,00;436597,32;432929,48;436533,46
18 = Ordentliches Ergebnis (= 10 + 17);409684,15;44391,79;-11297,60;195716,63;185277,02;180324,97;176777,96;180346,06
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);409684,15;44391,79;-11297,60;195716,63;185277,02;180324,97;176777,96;180346,06
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);409684,15;44391,79;-11297,60;195716,63;185277,02;180324,97;176777,96;180346,06
27 + Erträge aus internen Leistungsbeziehungen;-415153,69;-113656,93;-28101,16;-213944,79;-204223,30;-199601,84;-196293,81;-199599,42
28 - Aufwendungen aus internen Leistungsbeziehungen;39130,56;73400,57;41677,37;35574,65;35504,77;35460,71;35430,89;35437,04
29 = Teilergebnis  (= 26, 27, 28);33661,02;4135,43;2278,61;17346,49;16558,49;16183,84;15915,04;16183,68
