;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;-18286,30;-4349,80;-6245,11;-6309,91;-6357,43;-6427,50;-6452,70
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;-18286,30;-4349,80;-6245,11;-6309,91;-6357,43;-6427,50;-6452,70
11 - Personalaufwendungen;358495,14;413697,47;246407,28;197996,80;199295,40;200834,72;203845,08;207122,12
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;4195,77;3300,46;4351,68;2499,96;2569,92;2649,96;2700,00;2749,92
14 - Bilanzielle Abschreibungen;97,09;91,82;16,71;4,68;4,68;0,72;;
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;3628,40;3942,36;5753,52;4620,04;4620,04;4620,04;4620,04;4620,04
17 = Ordentliche Aufwendungen;366416,40;421032,11;256529,19;205121,48;206490,04;208105,44;211165,12;214492,08
18 = Ordentliches Ergebnis (= 10 + 17);366416,40;402745,81;252179,39;198876,37;200180,13;201748,01;204737,62;208039,38
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);366416,40;402745,81;252179,39;198876,37;200180,13;201748,01;204737,62;208039,38
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);366416,40;402745,81;252179,39;198876,37;200180,13;201748,01;204737,62;208039,38
27 + Erträge aus internen Leistungsbeziehungen;-359899,62;-409239,67;-251935,19;-198767,27;-199968,59;-201415,81;-204186,93;-207249,80
28 - Aufwendungen aus internen Leistungsbeziehungen;22664,28;21388,86;20182,48;16007,19;16002,34;15998,85;16004,97;16014,57
29 = Teilergebnis  (= 26, 27, 28);29181,06;14895,00;20426,68;16116,29;16213,88;16331,05;16555,66;16804,15
