;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-11282,99;-11271,04;-11158,33;-6602,28;-1247,28;-1247,28;-1143,34;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-912,00;-1528,00;-600,00;-600,00;-600,00;-600,00;-600,00;-600,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-164955,42;-178656,88;-170000,00;-170000,00;-170000,00;-170000,00;-170000,00;-170000,00
7 + Sonstige ordentliche Erträge;-16041,43;-12543,85;-4050,00;-4050,00;-4050,00;-4050,00;-4050,00;-4050,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-193191,84;-203999,77;-185808,33;-181252,28;-175897,28;-175897,28;-175793,34;-174650,00
11 - Personalaufwendungen;1880728,80;2152467,31;2261658,18;2037577,16;1996057,31;1976552,01;1968148,20;1988194,32
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;33399,27;33757,84;37129,48;33582,80;38500,16;35433,92;36084,40;40743,08
14 - Bilanzielle Abschreibungen;14388,05;15194,82;11254,96;6729,82;1350,67;1278,20;1174,26;30,92
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;99633,49;42803,54;45089,20;46075,88;46075,88;46075,88;46075,88;46075,88
17 = Ordentliche Aufwendungen;2028149,61;2244223,51;2355131,82;2123965,66;2081984,02;2059340,01;2051482,74;2075044,20
18 = Ordentliches Ergebnis (= 10 + 17);1834957,77;2040223,74;2169323,49;1942713,38;1906086,74;1883442,73;1875689,40;1900394,20
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1834957,77;2040223,74;2169323,49;1942713,38;1906086,74;1883442,73;1875689,40;1900394,20
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1834957,77;2040223,74;2169323,49;1942713,38;1906086,74;1883442,73;1875689,40;1900394,20
27 + Erträge aus internen Leistungsbeziehungen;-500066,51;-517664,71;-550189,00;-250200,00;-250200,00;-250200,00;-250200,00;-250200,00
28 - Aufwendungen aus internen Leistungsbeziehungen;1808165,76;1664882,87;1667214,64;980650,12;977460,10;975061,86;973737,31;974660,53
29 = Teilergebnis  (= 26, 27, 28);3143057,02;3187441,90;3286349,13;2673163,50;2633346,84;2608304,59;2599226,71;2624854,73
