;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-254711,76;-310247,88;-138063,41;-196108,79;-169537,03;-152958,26;-128667,58;-118255,29
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-457060,84;-504716,21;-460000,00;-485000,00;-485000,00;-485000,00;-485000,00;-485000,00
6 + Kostenerstattungen und Kostenumlagen;-994778,24;-1165383,39;-907668,00;-837700,00;-837700,00;-837700,00;-837700,00;-837700,00
7 + Sonstige ordentliche Erträge;-333,00;-66571,36;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-1706883,84;-2046918,84;-1505731,41;-1518808,79;-1492237,03;-1475658,26;-1451367,58;-1440955,29
11 - Personalaufwendungen;1843403,98;1856211,24;1528113,00;1678678,36;1708242,58;1738086,11;1765046,64;1792529,85
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;438365,54;394314,46;571102,88;742116,24;743514,64;744964,92;747300,76;749603,92
14 - Bilanzielle Abschreibungen;1024714,18;995636,44;666015,27;735207,87;700077,07;653777,39;574620,02;549693,88
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;1112979,43;912608,37;1027685,40;1084784,84;1074784,84;1064784,84;1064784,84;1064784,84
17 = Ordentliche Aufwendungen;4419463,13;4158770,51;3792916,55;4240787,31;4226619,13;4201613,26;4151752,26;4156612,49
18 = Ordentliches Ergebnis (= 10 + 17);2712579,29;2111851,67;2287185,14;2721978,52;2734382,10;2725955,00;2700384,68;2715657,20
19 + Finanzerträge;;-1608,59;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;-1608,59;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);2712579,29;2110243,08;2287185,14;2721978,52;2734382,10;2725955,00;2700384,68;2715657,20
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);2712579,29;2110243,08;2287185,14;2721978,52;2734382,10;2725955,00;2700384,68;2715657,20
27 + Erträge aus internen Leistungsbeziehungen;-4845865,29;-3744338,61;-4088196,00;-1911972,00;-1911972,00;-1911972,00;-1911972,00;-1911972,00
28 - Aufwendungen aus internen Leistungsbeziehungen;201975,14;186333,79;168586,94;181948,67;181981,40;182036,99;182343,03;183440,61
29 = Teilergebnis  (= 26, 27, 28);-1931310,86;-1447761,74;-1632423,92;991955,19;1004391,50;996019,99;970755,71;987125,81
