;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-262492,20;-371862,60;-241516,37;-217040,92;-137235,65;-72108,75;-25155,79;-14150,45
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-2014,07;-1193,17;-5000,00;-5000,00;-5000,00;-5000,00;-5000,00;-5000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-793854,97;-1731504,61;-1948034,00;-2009450,00;-2009450,00;-2009450,00;-2009450,00;-2009450,00
7 + Sonstige ordentliche Erträge;;-55341,28;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-1058361,24;-2159901,66;-2194550,37;-2231490,92;-2151685,65;-2086558,75;-2039605,79;-2028600,45
11 - Personalaufwendungen;3109068,87;3301244,86;2517348,16;2608981,68;2648957,06;2689935,08;2731380,14;2774193,41
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;2106779,58;2767174,82;2621037,76;2687932,04;2689501,52;2691129,20;2692291,92;2693473,92
14 - Bilanzielle Abschreibungen;452868,19;420028,05;301130,01;258136,02;180313,38;104451,87;26062,65;14983,22
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;435166,52;384335,61;521598,52;443732,84;443732,84;443732,84;443732,84;443732,84
17 = Ordentliche Aufwendungen;6103883,16;6872783,34;5961114,45;5998782,58;5962504,80;5929248,99;5893467,55;5926383,39
18 = Ordentliches Ergebnis (= 10 + 17);5045521,92;4712881,68;3766564,08;3767291,66;3810819,15;3842690,24;3853861,76;3897782,94
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);5045521,92;4712881,68;3766564,08;3767291,66;3810819,15;3842690,24;3853861,76;3897782,94
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);5045521,92;4712881,68;3766564,08;3767291,66;3810819,15;3842690,24;3853861,76;3897782,94
27 + Erträge aus internen Leistungsbeziehungen;-5184752,35;-4763632,51;-4437168,00;-4065444,00;-4065444,00;-4065444,00;-4065444,00;-4065444,00
28 - Aufwendungen aus internen Leistungsbeziehungen;445770,12;476281,19;343242,15;324582,75;323317,15;322152,95;321772,01;323133,50
29 = Teilergebnis  (= 26, 27, 28);306539,69;425530,36;-327361,77;26430,41;68692,30;99399,19;110189,77;155472,44
