;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;-8609,70;;-7067,75;-1296,27;-1228,51;-153,34;-4,50
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;-1000,00;-1000,00;-1000,00;-1000,00;-1000,00
7 + Sonstige ordentliche Erträge;;-69,42;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;-8679,12;;-8067,75;-2296,27;-2228,51;-1153,34;-1004,50
11 - Personalaufwendungen;;138106,22;;194227,83;196567,47;199041,01;202077,06;205273,86
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;2884,50;;13356,88;13442,84;13531,80;13595,32;13660,00
14 - Bilanzielle Abschreibungen;;9539,61;;21094,58;14966,20;11416,13;152,99;3,96
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;;5583,38;;5550,28;5550,28;5550,28;5550,32;5550,32
17 = Ordentliche Aufwendungen;;156113,71;;234229,57;230526,79;229539,22;221375,69;224488,14
18 = Ordentliches Ergebnis (= 10 + 17);;147434,59;;226161,82;228230,52;227310,71;220222,35;223483,64
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;147434,59;;226161,82;228230,52;227310,71;220222,35;223483,64
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;147434,59;;226161,82;228230,52;227310,71;220222,35;223483,64
27 + Erträge aus internen Leistungsbeziehungen;;-138585,36;;-212791,26;-214704,13;-213853,50;-207302,34;-210327,34
28 - Aufwendungen aus internen Leistungsbeziehungen;;2387,31;;3882,47;3881,87;3881,88;3887,87;3897,00
29 = Teilergebnis  (= 26, 27, 28);;11236,54;;17253,03;17408,26;17339,09;16807,88;17053,30
