;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-80,37;;;;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;-14459,86;;-12000,00;-12000,00;-12000,00;-12000,00;-12000,00
7 + Sonstige ordentliche Erträge;;-988,08;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-80,37;-15447,94;;-12000,00;-12000,00;-12000,00;-12000,00;-12000,00
11 - Personalaufwendungen;38255,71;899413,67;68006,40;96121,76;97066,80;98098,08;99572,84;101143,20
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;92908,33;116186,13;43225,00;113597,80;114100,80;119503,92;119903,92;120206,92
14 - Bilanzielle Abschreibungen;235,53;746,01;483,66;;;;;
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;23563,21;42110,49;37315,65;119378,33;119378,33;124378,33;124378,33;124378,33
17 = Ordentliche Aufwendungen;154962,78;1058456,30;149030,71;329097,89;330545,93;341980,33;343855,09;345728,45
18 = Ordentliches Ergebnis (= 10 + 17);154882,41;1043008,36;149030,71;317097,89;318545,93;329980,33;331855,09;333728,45
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);154882,41;1043008,36;149030,71;317097,89;318545,93;329980,33;331855,09;333728,45
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);154882,41;1043008,36;149030,71;317097,89;318545,93;329980,33;331855,09;333728,45
27 + Erträge aus internen Leistungsbeziehungen;-212211,12;-214596,00;-214248,00;-304500,00;-304500,00;-304500,00;-304500,00;-304500,00
28 - Aufwendungen aus internen Leistungsbeziehungen;22747,69;32727,61;25864,47;19969,66;19909,45;20102,66;20094,75;20154,61
29 = Teilergebnis  (= 26, 27, 28);-34581,02;861139,97;-39352,82;32567,55;33955,38;45582,99;47449,84;49383,06
