;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-31084,26;-34496,40;-40000,00;-20000,00;-20000,00;-20000,00;-20000,00;-20000,00
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-31084,26;-34496,40;-40000,00;-20000,00;-20000,00;-20000,00;-20000,00;-20000,00
11 - Personalaufwendungen;;;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;364,68;8460,93;750,00;750,00;750,00;750,00;750,00;750,00
14 - Bilanzielle Abschreibungen;;;;477,51;477,51;477,51;477,51;477,51
15 - Transferaufwendungen;41574,08;;;;;;;
16 - Sonstige ordentliche Aufwendungen;95590,02;65787,36;73010,36;51286,04;51286,04;51286,04;51286,04;51286,04
17 = Ordentliche Aufwendungen;137528,78;74248,29;73760,36;52513,55;52513,55;52513,55;52513,55;52513,55
18 = Ordentliches Ergebnis (= 10 + 17);106444,52;39751,89;33760,36;32513,55;32513,55;32513,55;32513,55;32513,55
19 + Finanzerträge;-37903,68;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;63,54;;;;;;
21 = Finanzergebnis (= 19 + 20);-37903,68;63,54;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);68540,84;39815,43;33760,36;32513,55;32513,55;32513,55;32513,55;32513,55
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);68540,84;39815,43;33760,36;32513,55;32513,55;32513,55;32513,55;32513,55
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;21,45;44,68;37,59;38,53;38,40;38,04;37,57;37,57
29 = Teilergebnis  (= 26, 27, 28);68562,29;39860,11;33797,95;32552,08;32551,95;32551,59;32551,12;32551,12
