;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-81118,77;-95372,00;-80000,00;-100000,00;-100000,00;-100000,00;-100000,00;-100000,00
6 + Kostenerstattungen und Kostenumlagen;;-219651,29;-166250,00;-222500,00;-222500,00;-222500,00;-222500,00;-222500,00
7 + Sonstige ordentliche Erträge;-5643,38;-25501,88;-40000,00;-30000,00;-30000,00;-30000,00;-30000,00;-30000,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-86762,15;-340525,17;-286250,00;-352500,00;-352500,00;-352500,00;-352500,00;-352500,00
11 - Personalaufwendungen;467845,64;610707,84;636000,00;650000,00;650000,00;650000,00;650000,00;650000,00
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;752,59;27601,99;109050,00;109050,00;109050,00;109050,00;109050,00;109050,00
14 - Bilanzielle Abschreibungen;;;;;;;;
15 - Transferaufwendungen;11804,43;14765,15;14000,00;26600,00;26600,00;26600,00;26600,00;26600,00
16 - Sonstige ordentliche Aufwendungen;191447,10;310053,60;153700,00;157200,00;157200,00;157200,00;157200,00;157200,00
17 = Ordentliche Aufwendungen;671849,76;963128,58;912750,00;942850,00;942850,00;942850,00;942850,00;942850,00
18 = Ordentliches Ergebnis (= 10 + 17);585087,61;622603,41;626500,00;590350,00;590350,00;590350,00;590350,00;590350,00
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);585087,61;622603,41;626500,00;590350,00;590350,00;590350,00;590350,00;590350,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);585087,61;622603,41;626500,00;590350,00;590350,00;590350,00;590350,00;590350,00
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;65,39;;416,00;;;;;
29 = Teilergebnis  (= 26, 27, 28);585153,00;622603,41;626916,00;590350,00;590350,00;590350,00;590350,00;590350,00
