;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-681,54;-1233,52;-976,08;-47,18;-9,48;-4,80;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-302244,00;-445992,00;;;;;;
7 + Sonstige ordentliche Erträge;;-3,24;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-302925,54;-447228,76;-976,08;-47,18;-9,48;-4,80;;
11 - Personalaufwendungen;314269,82;61874,44;95370,10;135351,94;134721,48;134901,92;135609,27;137361,86
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;105375,08;99758,76;41048,76;5113,72;5194,00;5285,48;5346,92;5399,60
14 - Bilanzielle Abschreibungen;1775,26;1351,62;976,08;47,18;9,48;4,80;;
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;10111,60;4880,41;8082,54;8171,68;8171,68;8171,68;8171,68;8171,60
17 = Ordentliche Aufwendungen;431531,76;167865,23;145477,48;148684,52;148096,64;148363,88;149127,87;150933,06
18 = Ordentliches Ergebnis (= 10 + 17);128606,22;-279363,53;144501,40;148637,34;148087,16;148359,08;149127,87;150933,06
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);128606,22;-279363,53;144501,40;148637,34;148087,16;148359,08;149127,87;150933,06
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);128606,22;-279363,53;144501,40;148637,34;148087,16;148359,08;149127,87;150933,06
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;80377,53;16409,52;47610,21;28411,94;28294,84;28221,87;28194,41;28262,92
29 = Teilergebnis  (= 26, 27, 28);208983,75;-262954,01;192111,61;177049,28;176382,00;176580,95;177322,28;179195,98
