;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-6251,39;-6422,72;-6035,70;-6413,50;-5884,41;-5032,68;-4475,63;-4045,54
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-30042,00;-56442,80;-31600,00;-31600,00;-31600,00;-31600,00;-31600,00;-31600,00
5 + Privatrechtliche Leistungsentgelte;-26301,20;-35778,40;-18000,00;-22500,00;-22500,00;-22500,00;-22500,00;-22500,00
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;-350,00;-22795,23;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-62944,59;-121439,15;-55635,70;-60513,50;-59984,41;-59132,68;-58575,63;-58145,54
11 - Personalaufwendungen;863725,92;928816,50;1100444,28;885824,24;889545,32;894540,80;907854,90;922546,59
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;62566,80;63565,29;63001,24;67904,36;69409,04;70956,08;72021,56;73105,76
14 - Bilanzielle Abschreibungen;22164,19;22206,86;18164,73;16602,26;15464,88;14144,88;12345,24;10981,28
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;147458,64;143534,05;153545,30;145782,68;145782,68;145782,68;145782,76;145782,76
17 = Ordentliche Aufwendungen;1095915,55;1158122,70;1335155,55;1116113,54;1120201,92;1125424,44;1138004,46;1152416,39
18 = Ordentliches Ergebnis (= 10 + 17);1032970,96;1036683,55;1279519,85;1055600,04;1060217,51;1066291,76;1079428,83;1094270,85
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1032970,96;1036683,55;1279519,85;1055600,04;1060217,51;1066291,76;1079428,83;1094270,85
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1032970,96;1036683,55;1279519,85;1055600,04;1060217,51;1066291,76;1079428,83;1094270,85
27 + Erträge aus internen Leistungsbeziehungen;-150000,00;-150000,00;-150000,00;-150000,00;-150000,00;-150000,00;-150000,00;-150000,00
28 - Aufwendungen aus internen Leistungsbeziehungen;161975,87;178451,59;167288,10;129951,93;129609,24;129344,07;129611,07;130246,84
29 = Teilergebnis  (= 26, 27, 28);1044946,83;1065135,14;1296807,95;1035551,97;1039826,75;1045635,83;1059039,90;1074517,69
