;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-446548,54;-495788,46;-430156,24;;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-5481,00;-2888,00;-1000,00;;;;;
6 + Kostenerstattungen und Kostenumlagen;;-7674,78;;;;;;
7 + Sonstige ordentliche Erträge;;-58,75;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-452029,54;-506409,99;-431156,24;;;;;
11 - Personalaufwendungen;345817,06;348834,35;257573,66;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;379050,01;387846,06;209841,68;;;;;
14 - Bilanzielle Abschreibungen;1645,08;1489,71;245,99;;;;;
15 - Transferaufwendungen;42813,11;33023,87;66300,00;;;;;
16 - Sonstige ordentliche Aufwendungen;41225,97;46056,20;42953,12;;;;;
17 = Ordentliche Aufwendungen;810551,23;817250,19;576914,45;;;;;
18 = Ordentliches Ergebnis (= 10 + 17);358521,69;310840,20;145758,21;;;;;
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);358521,69;310840,20;145758,21;;;;;
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);358521,69;310840,20;145758,21;;;;;
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;99408,70;72441,47;71857,33;;;;;
29 = Teilergebnis  (= 26, 27, 28);457930,39;383281,67;217615,54;;;;;
