;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-23712,57;-17653,12;-24037,51;-24512,34;-24512,33;-24512,33;-24302,97;-24302,98
3 + Sonstige Transfererträge;-105,37;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-32705,25;-900518,75;-261250,00;-261250,00;-261250,00;-261250,00;-261250,00;-261250,00
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;-405722,25;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-56523,19;-1323894,12;-285287,51;-285762,34;-285762,33;-285762,33;-285552,97;-285552,98
11 - Personalaufwendungen;1494153,49;1508116,08;1238722,45;1272146,28;1274442,12;1282966,64;1290671,20;1306585,76
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;421382,02;398896,24;473632,51;430287,51;442287,51;455287,51;463787,51;472287,51
14 - Bilanzielle Abschreibungen;6084,40;7417,99;4202,25;3465,12;2700,99;2277,77;1854,42;1557,79
15 - Transferaufwendungen;;42,54;;;;;;
16 - Sonstige ordentliche Aufwendungen;2941330,52;3833795,31;3197777,00;3108700,00;3108700,00;3108700,00;3108700,00;3108700,00
17 = Ordentliche Aufwendungen;4862950,43;5748268,16;4914334,21;4814598,91;4828130,62;4849231,92;4865013,13;4889131,06
18 = Ordentliches Ergebnis (= 10 + 17);4806427,24;4424374,04;4629046,70;4528836,57;4542368,29;4563469,59;4579460,16;4603578,08
19 + Finanzerträge;;;;-37,51;-37,51;-37,51;-37,51;-37,51
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;-37,51;-37,51;-37,51;-37,51;-37,51
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);4806427,24;4424374,04;4629046,70;4528799,06;4542330,78;4563432,08;4579422,65;4603540,57
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);4806427,24;4424374,04;4629046,70;4528799,06;4542330,78;4563432,08;4579422,65;4603540,57
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;265028,01;287280,12;324306,80;255850,59;255491,91;255511,42;255510,10;256457,43
29 = Teilergebnis  (= 26, 27, 28);5071455,25;4711654,16;4953353,50;4784649,65;4797822,69;4818943,50;4834932,75;4859998,00
