;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-44072,98;-21363,17;-40025,08;-50,28;-50,28;-50,28;-50,28;-50,28
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;-818,64;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;-14827,00;-151459,59;-500,00;-500,00;-500,00;-500,00;-500,00;-500,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-58899,98;-172822,76;-41343,72;-550,28;-550,28;-550,28;-550,28;-550,28
11 - Personalaufwendungen;351529,65;462602,46;436458,16;533884,64;537252,18;541284,24;549394,45;558232,11
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;290,41;580,09;5720,88;855,00;855,00;855,00;855,04;855,00
14 - Bilanzielle Abschreibungen;30,83;88,97;30,84;71,64;71,64;71,64;71,64;71,64
15 - Transferaufwendungen;25525,38;98040,00;40000,00;40000,00;40000,00;40000,00;40000,00;40000,00
16 - Sonstige ordentliche Aufwendungen;56083,60;70659,98;13923,40;5775,60;5775,60;5775,60;5775,56;5775,60
17 = Ordentliche Aufwendungen;433459,87;631971,50;496133,28;580586,88;583954,42;587986,48;596096,69;604934,35
18 = Ordentliches Ergebnis (= 10 + 17);374559,89;459148,74;454789,56;580036,60;583404,14;587436,20;595546,41;604384,07
19 + Finanzerträge;;;;-40000,00;-40000,00;-40000,00;-40000,00;-40000,00
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;-40000,00;-40000,00;-40000,00;-40000,00;-40000,00
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);374559,89;459148,74;454789,56;540036,60;543404,14;547436,20;555546,41;564384,07
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);374559,89;459148,74;454789,56;540036,60;543404,14;547436,20;555546,41;564384,07
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;227376,81;191730,91;215775,20;197571,26;197401,35;197270,97;197422,92;197778,86
29 = Teilergebnis  (= 26, 27, 28);601936,70;650879,65;670564,76;737607,86;740805,49;744707,17;752969,33;762162,93
