;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;-281508,07;-281508,07;-281503,12;-281503,12;-281503,12
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;-3230,76;-3230,76;-3230,76;-3230,76;-3230,76
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;-965012,52;-989689,80;-1015054,08;-1026573,76;-1052709,08
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;;;-1249751,35;-1274428,63;-1299787,96;-1311307,64;-1337442,96
11 - Personalaufwendungen;;;;110278,92;105050,56;102069,04;99495,25;99849,62
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;;;3479,36;3546,32;3615,20;3682,12;3751,16
14 - Bilanzielle Abschreibungen;;;;12,02;12,02;7,12;7,11;7,12
15 - Transferaufwendungen;;;;4571303,00;4647248,00;4674120,00;4698929,00;4724533,00
16 - Sonstige ordentliche Aufwendungen;;;;9169,20;9169,20;9169,20;9169,20;9169,20
17 = Ordentliche Aufwendungen;;;;4694242,50;4765026,10;4788980,56;4811282,68;4837310,10
18 = Ordentliches Ergebnis (= 10 + 17);;;;3444491,15;3490597,47;3489192,60;3499975,04;3499867,14
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;;;3444491,15;3490597,47;3489192,60;3499975,04;3499867,14
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;;;3444491,15;3490597,47;3489192,60;3499975,04;3499867,14
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;21590,87;21255,28;21040,97;20866,36;20871,97
29 = Teilergebnis  (= 26, 27, 28);;;;3466082,02;3511852,75;3510233,57;3520841,40;3520739,11
