;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-18659032,62;-17459358,55;-16430086,98;-18933079,39;-19401064,15;-20356064,15;-20959064,15;-21580055,27
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-4635108,47;-3697514,89;-3266000,00;-3858000,00;-3896000,00;-3934000,00;-3972000,00;-4010000,00
5 + Privatrechtliche Leistungsentgelte;-329,50;-611,00;-2500,00;-2500,00;-2500,00;-2500,00;-2500,00;-2500,00
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;-395719,01;-416259,82;-2,08;-2,08;-2,08;-2,08;-2,08;-2,08
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-23690189,60;-21573744,26;-19698589,06;-22793581,47;-23299566,23;-24292566,23;-24933566,23;-25592557,35
11 - Personalaufwendungen;705905,06;683866,26;764707,78;827222,64;828025,22;832297,65;839532,98;851220,89
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;33917,74;42106,93;39807,52;29911,76;30621,32;31221,32;31772,08;32354,24
14 - Bilanzielle Abschreibungen;484,95;345,33;178,02;165,38;150,15;150,14;150,15;138,90
15 - Transferaufwendungen;35421475,03;33854161,63;34217000,00;36786000,00;37796000,00;39619000,00;40795000,00;42006000,00
16 - Sonstige ordentliche Aufwendungen;686787,60;583088,18;195760,00;201480,00;204080,00;207380,00;208780,04;211680,00
17 = Ordentliche Aufwendungen;36848570,38;35163568,33;35217453,32;37844779,78;38858876,69;40690049,11;41875235,25;43101394,03
18 = Ordentliches Ergebnis (= 10 + 17);13158380,78;13589824,07;15518864,26;15051198,31;15559310,46;16397482,88;16941669,02;17508836,68
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);13158380,78;13589824,07;15518864,26;15051198,31;15559310,46;16397482,88;16941669,02;17508836,68
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);13158380,78;13589824,07;15518864,26;15051198,31;15559310,46;16397482,88;16941669,02;17508836,68
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;534037,69;519127,46;521348,66;412510,55;412039,99;411753,02;411738,99;412216,81
29 = Teilergebnis  (= 26, 27, 28);13692418,47;14108951,53;16040212,92;15463708,86;15971350,45;16809235,90;17353408,01;17921053,49
